lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,92945,37569,18467,36909,6,0.894,0.351,Hard,1,4.9,4.7,3.8,4.9,2.5,1.90,47.0,3,Clear,32,22,none,0,,0
2,84066,28803,18783,36480,4,1.429,0.492,Hard,2,9.8,8.5,6.8,9.8,5.3,1.90,20.0,3,Light Cloud,32,22,none,0,,0
3,83310,28941,18666,35703,4,0.865,1.272,Hard,3,15.9,12.5,9.6,15.9,7.8,1.90,10.0,1,Light Cloud,31,21,none,0,,1
4,83784,29037,18457,36290,3,4.066,0.793,Hard,4,20.5,16.2,12.5,20.5,10.0,1.90,5.0,3,Light Cloud,31,21,none,0,,0
5,83993,29220,18851,35922,3,4.132,0.997,Hard,5,25.1,20.0,15.3,25.1,12.7,1.80,8.0,3,Overcast,30,21,none,0,,0
6,87602,29326,18911,39365,3,2.736,1.468,Hard,6,29.4,24.1,18.3,29.4,14.8,1.80,5.0,3,Overcast,29,21,none,0,,0
7,121375,35824,23386,62165,3,0.000,0.000,Intermediate,1,0.0,0.0,0.0,0.0,0.0,2.00,47.0,0,Light Rain,28,21,none,1,Wet,0
8,99054,37575,20435,41044,3,1.534,0.873,Intermediate,2,2.8,2.8,2.4,1.8,1.1,1.90,4.0,1,Light Rain,27,21,none,0,,0
9,95840,33095,20711,42034,3,2.641,0.272,Intermediate,3,5.3,5.3,4.5,3.6,2.2,1.90,3.0,1,Light Rain,27,21,none,0,,0
10,95763,33505,20374,41884,3,3.719,0.247,Intermediate,4,7.7,7.7,6.6,5.4,3.4,1.80,1.0,3,Light Rain,27,21,none,0,,0
11,95192,32967,20527,41698,3,4.225,0.222,Intermediate,5,10.1,10.1,8.7,7.2,4.6,1.80,3.0,1,Light Rain,26,21,none,0,,0
12,111214,33672,20750,56792,3,0.000,0.000,Wet,1,0.0,0.0,0.0,0.0,0.0,1.80,17.0,0,Storm,25,21,none,1,Intermediate,0
13,103577,39569,21072,42936,3,3.970,0.216,Wet,2,3.9,3.9,3.5,2.2,1.6,1.70,0.0,3,Storm,24,21,none,0,,0
14,98611,34453,21062,43096,3,3.984,0.318,Wet,3,7.6,7.6,6.8,4.5,3.2,1.60,2.0,3,Storm,23,21,none,0,,0
15,98582,34365,20856,43361,3,4.031,0.247,Wet,4,11.5,11.5,10.3,6.8,4.9,1.50,0.0,3,Storm,23,20,none,0,,0
16,110846,34011,21048,55787,3,0.000,0.000,Intermediate,1,0.0,0.0,0.0,0.0,0.0,1.50,13.0,0,Storm,23,20,none,1,Medium,0
17,100663,38439,20571,41653,3,2.078,0.876,Intermediate,2,2.1,2.1,1.9,1.3,1.0,1.50,0.0,3,Storm,23,20,none,0,,0
18,113555,37692,24877,50986,2,24.560,0.545,Intermediate,3,3.4,3.4,3.1,2.0,1.4,1.60,42.0,1,Storm,23,20,SC,0,,0
19,97807,34132,20582,43093,2,0.209,0.574,Intermediate,4,5.3,5.3,4.8,3.4,2.4,1.60,50.0,1,Storm,23,20,SC,0,,0
20,123898,43720,26404,53774,2,0.269,0.386,Intermediate,5,6.2,6.2,5.6,3.8,2.7,1.90,98.0,1,Storm,24,20,SC,0,,0
21,129776,43414,27276,59086,1,0.000,0.677,Intermediate,6,7.2,7.2,6.6,4.3,3.0,2.20,79.0,3,Light Rain,25,20,SC,0,,0
22,92295,32199,20150,39946,1,0.000,0.760,Intermediate,7,11.1,11.1,9.8,7.4,4.8,2.10,17.0,3,Light Rain,26,20,none,0,,0
23,92007,32019,19867,40121,1,0.000,0.172,Intermediate,8,15.1,15.1,13.2,10.4,6.8,2.10,0.0,3,Light Rain,26,20,none,0,,0
24,92350,32309,20032,40009,1,0.000,0.238,Intermediate,9,19.2,19.2,16.6,13.5,8.8,2.00,0.0,3,Light Rain,26,20,none,0,,0
25,92340,32061,19951,40328,1,0.000,0.545,Intermediate,10,23.8,23.8,19.9,16.8,10.6,2.00,2.0,1,Light Rain,26,20,none,0,,0
26,106405,32008,19988,54409,1,0.000,0.000,Medium,1,0.0,0.0,0.0,0.0,0.0,2.00,3.0,0,Light Rain,27,20,none,1,,0
27,94134,36943,19437,37754,1,0.000,0.000,Medium,2,4.3,4.3,3.5,3.5,1.8,2.00,1.0,3,Light Rain,28,20,none,0,,0
28,84279,29526,19053,35700,1,0.000,3.507,Medium,3,8.7,8.7,6.9,8.2,4.6,1.90,6.0,3,Overcast,28,20,none,0,,0
29,82417,28615,18465,35337,1,0.000,2.886,Medium,4,13.6,13.1,10.2,13.6,7.6,1.90,6.0,3,Light Cloud,29,20,none,0,,0
