lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,95660,23850,37543,34267,4,0.586,0.896,Medium,1,6.0,5.9,6.0,4.6,5.2,2.50,9.0,3,Clear,30,24,none,0,,0
2,92095,19268,38343,34484,5,0.417,0.384,Medium,2,13.2,10.3,11.1,10.2,13.2,2.50,18.0,3,Clear,30,24,none,0,,0
3,90565,19076,37690,33799,4,1.934,2.781,Medium,3,20.7,15.0,16.2,15.5,20.7,2.50,19.0,3,Clear,30,24,none,0,,0
4,90947,18829,37912,34206,4,1.463,2.970,Medium,4,28.3,19.4,21.2,20.6,28.3,2.40,12.0,3,Clear,30,24,none,0,,0
5,91249,19069,37836,34344,4,0.631,2.937,Medium,5,35.0,23.9,26.1,25.2,35.0,2.40,28.0,3,Clear,30,24,none,0,,0
6,92168,19196,38043,34929,3,2.035,0.659,Medium,6,41.8,28.6,31.1,30.8,41.8,2.40,27.0,3,Clear,30,24,none,0,,0
7,92179,19034,38231,34914,3,1.402,1.317,Medium,7,48.3,33.0,36.0,35.8,48.3,2.40,46.0,3,Clear,30,24,none,0,,0
8,92099,18973,37920,35206,3,0.863,1.091,Medium,8,54.7,37.7,41.1,40.6,54.7,2.40,23.0,3,Clear,30,24,none,0,,0
9,91762,19061,37557,35144,2,0.300,0.000,Medium,9,60.7,42.4,46.1,46.4,60.7,2.40,21.0,3,Clear,30,23,none,0,,0
10,94789,19258,38248,37283,1,0.000,0.000,Medium,10,67.3,47.2,51.2,51.5,67.3,2.40,44.0,0,Light Cloud,29,23,none,1,,0
11,107712,37395,36496,33821,3,2.725,0.416,Medium,11,5.5,4.2,4.3,4.6,5.5,2.50,28.0,3,Light Cloud,29,23,none,0,,0
12,90069,18665,37441,33963,2,10.977,0.333,Medium,12,12.7,8.2,8.9,10.0,12.7,2.40,50.0,3,Light Cloud,29,23,none,0,,0
13,90006,18847,37177,33982,2,10.812,0.817,Medium,13,19.7,12.3,13.5,14.5,19.7,2.40,49.0,3,Light Cloud,28,23,none,0,,0
14,90534,18817,37460,34257,2,10.657,1.550,Medium,14,27.6,16.6,18.4,19.8,27.6,2.40,38.0,3,Light Cloud,28,23,none,0,,0
15,90427,18839,37573,34015,2,10.240,3.550,Medium,15,35.1,21.0,23.2,24.4,35.1,2.40,32.0,0,Light Cloud,28,23,none,0,,0
16,91692,18974,37973,34745,2,10.816,3.833,Medium,16,42.3,25.3,27.9,30.1,42.3,2.40,55.0,3,Light Cloud,28,23,none,0,,0
17,91626,18977,38064,34585,2,11.253,3.703,Medium,17,48.8,29.7,32.8,34.9,48.8,2.40,43.0,3,Light Cloud,28,23,none,0,,0
18,91622,18972,37652,34998,2,11.169,3.901,Medium,18,55.2,34.0,37.5,39.3,55.2,2.40,24.0,3,Light Cloud,28,23,none,0,,0
19,93881,19245,38151,36485,2,0.000,2.610,Medium,19,62.1,38.2,42.3,43.3,62.1,2.40,39.0,0,Light Cloud,28,23,none,1,Hard,0
20,108040,37591,37007,33442,3,14.438,5.862,Hard,1,4.3,3.0,3.2,3.2,4.3,2.40,34.0,3,Light Cloud,28,23,none,0,,0
21,89387,18524,37418,33445,2,8.584,6.954,Hard,2,9.8,6.0,6.8,7.1,9.8,2.40,35.0,3,Light Cloud,28,23,none,0,,0
22,89438,18529,37383,33526,2,7.560,6.860,Hard,3,15.6,9.2,10.6,10.4,15.6,2.40,38.0,3,Light Cloud,28,23,none,0,,0
23,89661,18601,37656,33404,2,6.597,6.560,Hard,4,21.4,12.4,14.2,14.0,21.4,2.40,20.0,3,Light Cloud,28,23,none,0,,0
24,90431,18702,37779,33950,2,6.026,5.648,Hard,5,27.0,15.6,17.9,17.3,27.0,2.40,22.0,3,Light Cloud,28,23,none,0,,0
25,90118,18692,37625,33801,2,4.920,5.705,Hard,6,32.1,18.9,21.4,21.0,32.1,2.40,18.0,3,Light Cloud,28,23,none,0,,0
26,90585,18757,38004,33824,2,4.268,5.953,Hard,7,37.8,22.4,25.1,24.7,37.8,2.40,13.0,3,Light Cloud,28,23,none,0,,0
27,90868,18974,37761,34133,2,3.817,6.341,Hard,8,43.6,25.7,28.8,28.3,43.6,2.40,15.0,3,Light Cloud,28,23,none,0,,0
28,90883,19085,37347,34451,2,3.008,7.347,Hard,9,48.7,29.0,32.3,31.6,48.7,2.40,23.0,3,Clear,29,23,none,0,,0
29,90883,18786,37960,34137,0,2.993,7.767,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
