lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,87232,30699,32490,24043,12,0.389,0.400,Soft,1,8.9,5.9,4.1,8.9,2.3,1.50,52.0,3,Clear,37,25,none,0,,0
2,79581,23700,32059,23822,8,1.746,0.741,Soft,2,16.9,11.2,7.5,16.9,5.1,1.50,10.0,3,Clear,37,25,none,0,,0
3,79085,23611,31710,23764,8,1.896,1.391,Soft,3,25.0,16.3,10.7,25.0,8.5,1.50,32.0,3,Clear,37,25,none,0,,0
4,79317,23537,32144,23636,8,1.869,1.258,Soft,4,33.4,21.7,14.1,33.4,11.7,1.50,5.0,3,Clear,37,25,none,0,,0
5,79905,23707,31980,24218,8,1.982,0.467,Soft,5,41.0,27.1,17.4,41.0,15.0,1.50,6.0,3,Clear,37,25,none,0,,0
6,80349,24449,32067,23833,9,0.847,0.788,Soft,6,48.9,32.5,20.8,48.9,18.1,1.50,2.0,3,Light Cloud,36,25,none,0,,1
7,79976,23887,32074,24015,9,0.999,0.596,Soft,7,58.1,37.9,24.1,58.1,20.9,1.50,5.0,3,Light Cloud,36,25,none,0,,1
8,80079,23522,32458,24099,9,1.311,0.490,Soft,8,64.9,43.0,27.3,64.9,23.6,1.50,7.0,3,Light Cloud,36,25,none,0,,0
9,87442,24068,32560,30814,11,0.000,2.027,Soft,9,71.9,48.0,30.8,71.9,26.4,1.50,25.0,0,Light Cloud,35,25,none,1,Medium,0
10,96948,41769,31770,23409,20,3.782,,Medium,1,4.9,3.5,2.2,4.9,2.0,1.50,43.0,3,Light Cloud,35,24,none,0,,0
11,78219,23280,31492,23447,13,1.474,0.000,Medium,2,10.8,7.3,4.4,10.8,3.9,1.50,37.0,3,Light Cloud,35,24,none,0,,0
12,77998,23059,31619,23320,10,1.023,2.198,Medium,3,17.0,11.2,6.7,17.0,6.1,1.50,15.0,3,Light Cloud,35,24,none,0,,0
13,78496,23233,31821,23442,10,1.310,1.750,Medium,4,22.7,15.0,9.1,22.7,8.3,1.50,20.0,3,Overcast,35,24,none,0,,0
14,79302,23669,32050,23583,10,1.605,0.840,Medium,5,28.2,18.3,11.2,28.2,10.5,1.50,37.0,3,Overcast,34,24,none,0,,0
15,79248,23272,31970,24006,10,4.188,0.382,Medium,6,34.7,22.2,13.5,34.7,12.7,1.50,19.0,3,Overcast,34,24,none,0,,0
16,79019,23554,31693,23772,9,13.927,0.407,Medium,7,40.1,25.8,15.8,40.1,14.7,1.50,10.0,3,Overcast,34,24,none,0,,0
17,80825,23857,32698,24270,8,3.924,0.274,Medium,8,46.0,29.4,18.1,46.0,16.7,1.50,50.0,3,Overcast,34,24,none,0,,0
18,83212,23811,34953,24448,9,3.256,2.513,Medium,9,50.1,32.7,20.2,50.1,18.9,1.50,74.0,3,Overcast,34,24,none,0,,0
19,79904,23415,32251,24238,9,3.426,1.815,Medium,10,55.3,36.0,22.4,55.3,20.7,1.50,53.0,3,Overcast,34,24,none,0,,0
20,79983,23534,32457,23992,9,3.638,1.099,Medium,11,60.2,39.4,24.4,60.2,22.6,1.50,79.0,3,Overcast,34,24,none,0,,0
21,80460,23858,32452,24150,9,6.415,0.276,Medium,12,66.0,42.9,26.7,66.0,24.7,1.50,79.0,3,Overcast,34,24,none,0,,0
22,87912,23546,32923,31443,9,0.000,11.145,Medium,13,71.5,46.0,28.7,71.5,26.7,1.50,100.0,0,Overcast,34,24,none,1,unknown,0
23,96610,41551,31479,23580,11,5.280,1.205,Medium,14,5.7,3.3,2.1,5.7,2.0,1.50,68.0,3,Overcast,35,24,none,0,,0
24,81594,22979,34970,23645,12,0.543,13.327,Medium,15,13.2,6.7,4.3,13.2,4.2,1.50,54.0,3,Light Cloud,35,24,none,0,,1
25,78377,22685,31851,23841,11,6.000,0.534,Medium,16,20.3,9.9,6.4,20.3,6.6,1.50,65.0,3,Light Cloud,35,24,none,0,,0
26,78708,23251,31851,23606,11,4.724,1.222,Medium,17,26.5,13.0,8.4,26.5,8.5,1.50,49.0,3,Light Cloud,35,24,none,0,,0
27,78745,23254,31811,23680,11,3.496,2.661,Medium,18,33.8,16.2,10.6,33.8,10.9,1.50,29.0,3,Light Cloud,35,24,none,0,,0
28,78630,23249,31696,23685,11,1.928,4.153,Medium,19,40.8,19.6,12.8,40.8,13.0,1.50,7.0,3,Light Cloud,35,24,none,0,,0
29,79459,23699,32063,23697,11,1.358,4.777,Medium,20,47.0,22.7,14.8,47.0,15.0,1.50,14.0,3,Light Cloud,35,24,none,0,,0
30,79276,23473,31758,24045,10,0.694,5.913,Medium,21,53.4,25.8,16.8,53.4,17.2,1.50,36.0,3,Light Cloud,35,24,none,0,,1
31,79734,23466,32209,24059,9,6.966,0.554,Medium,22,58.9,28.8,18.8,58.9,19.3,1.50,65.0,3,Light Cloud,35,24,none,0,,0
32,79588,23485,32264,23839,9,7.107,0.806,Medium,23,65.4,32.0,20.9,65.4,21.5,1.50,36.0,3,Light Cloud,35,24,none,0,,0
33,80030,23624,32423,23983,0,7.831,0.611,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
