lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,90195,25525,38193,26477,7,1.394,0.535,Wet,1,3.7,3.7,3.7,1.5,1.5,1.40,42.0,3,Storm,23,20,none,0,,0
2,87933,18833,37521,31579,7,0.965,0.000,Wet,2,6.4,6.4,6.3,2.9,2.9,1.50,28.0,1,Storm,23,20,VSC,0,,0
3,87444,21593,39739,26112,7,1.773,0.438,Wet,3,9.2,9.2,9.1,4.4,4.3,1.50,5.0,3,Storm,23,20,none,0,,0
4,81347,19042,36431,25874,7,1.931,1.101,Wet,4,12.3,12.3,12.0,6.2,5.9,1.40,5.0,3,Storm,23,20,none,0,,0
5,83949,19585,35957,28407,8,0.000,0.000,Wet,5,15.2,15.2,14.8,8.1,7.6,1.40,22.0,0,Storm,24,20,none,1,Intermediate,0
6,106935,46003,36107,24825,12,3.282,2.714,Intermediate,1,2.0,2.0,1.9,1.3,1.3,1.50,7.0,3,Light Rain,25,20,none,0,,0
7,77736,18636,34744,24356,11,1.088,4.766,Intermediate,2,4.7,4.7,4.5,3.4,3.6,1.40,9.0,3,Light Rain,25,20,none,0,,0
8,78507,18305,35413,24789,10,0.093,0.361,Intermediate,3,7.7,7.7,7.3,5.7,6.0,1.40,7.0,3,Light Rain,25,20,none,0,,0
9,78276,18718,35146,24412,9,4.247,1.927,Intermediate,4,10.7,10.7,10.3,7.8,8.6,1.40,12.0,3,Light Rain,25,20,none,0,,0
10,77241,18390,34486,24365,9,2.625,3.962,Intermediate,5,14.3,14.3,14.2,10.3,11.6,1.40,2.0,0,Light Rain,25,20,none,0,,0
11,76983,18393,34455,24135,9,1.487,5.539,Intermediate,6,18.3,18.3,18.2,13.4,14.8,1.30,1.0,3,Light Rain,25,20,none,0,,0
12,77059,18332,34215,24512,9,0.574,7.170,Intermediate,7,22.5,22.5,22.4,16.5,18.0,1.30,1.0,3,Light Rain,25,20,none,0,,0
13,78475,18618,34832,25025,8,5.584,0.769,Intermediate,8,26.0,25.9,26.0,19.0,20.6,1.30,20.0,3,Light Rain,25,20,none,0,,0
14,77338,18182,34689,24467,8,5.097,3.027,Intermediate,9,29.6,29.6,29.6,21.8,23.5,1.30,14.0,3,Light Rain,25,20,none,0,,0
15,77295,18263,34615,24417,8,4.379,5.030,Intermediate,10,33.8,33.8,33.4,24.9,26.4,1.20,5.0,3,Light Rain,25,20,none,0,,0
16,77015,18206,34404,24405,8,3.305,6.985,Intermediate,11,37.7,37.7,37.2,28.0,29.5,1.20,5.0,3,Light Rain,25,20,none,0,,0
17,77317,18447,34527,24343,8,2.631,8.560,Intermediate,12,41.6,41.6,41.0,31.2,32.7,1.20,3.0,3,Light Rain,25,20,none,0,,0
18,77443,18588,34313,24542,8,2.299,10.276,Intermediate,13,45.8,45.8,45.0,34.3,35.6,1.10,2.0,3,Light Rain,25,20,none,0,,0
19,76873,18290,34135,24448,8,1.111,12.638,Intermediate,14,50.4,50.4,49.4,38.1,38.8,1.10,0.0,0,Light Rain,25,20,none,0,,0
20,80084,18485,34508,27091,8,0.000,14.503,Intermediate,15,54.6,54.6,53.4,40.8,42.0,1.10,16.0,0,Light Rain,25,20,none,1,,0
21,92683,34432,34432,23819,7,16.785,0.816,Intermediate,16,3.8,3.5,3.8,2.7,3.1,1.10,3.0,3,Light Rain,25,20,none,0,,0
22,76220,18159,34001,24060,6,7.376,1.718,Intermediate,17,7.5,7.5,7.4,5.9,6.1,1.10,12.0,3,Light Rain,25,20,none,0,,0
23,76161,18062,34229,23870,6,6.594,2.757,Intermediate,18,11.2,11.0,11.2,8.9,8.8,1.10,22.0,3,Light Rain,25,20,none,0,,0
24,76012,17805,34290,23917,6,5.945,3.671,Intermediate,19,15.3,15.3,15.3,12.5,11.7,1.10,2.0,3,Light Rain,25,20,none,0,,0
25,79205,18188,34466,26551,6,0.000,0.000,Intermediate,20,19.1,19.1,18.6,15.7,14.5,1.10,32.0,0,Light Rain,26,20,none,1,Medium,0
26,90501,35091,32887,22523,6,3.469,5.908,Medium,1,3.5,3.4,3.5,3.4,3.2,1.10,14.0,3,Light Rain,27,20,none,0,,0
