lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,99406,35267,37790,26349,8,0.484,0.371,Soft,1,8.6,7.7,6.0,8.6,5.3,1.40,28.0,1,Overcast,33,23,none,0,,0
2,94084,28931,39102,26051,6,0.742,0.660,Soft,2,20.3,15.4,11.4,20.3,11.2,1.40,7.0,1,Overcast,33,23,none,0,,0
3,93897,29209,38860,25828,5,0.672,0.417,Soft,3,30.8,22.7,16.5,30.8,16.3,1.40,8.0,3,Overcast,33,23,none,0,,0
4,94647,29195,39387,26065,5,0.411,0.409,Soft,4,42.7,30.4,21.8,42.7,22.1,1.40,6.0,3,Overcast,33,23,none,0,,0
5,94633,29636,38981,26016,4,0.472,0.491,Soft,5,54.4,38.0,27.2,54.4,28.2,1.40,4.0,3,Overcast,33,23,none,0,,0
6,96339,29647,39673,27019,3,9.360,0.664,Soft,6,64.3,45.4,32.3,64.3,33.0,1.30,6.0,1,Overcast,33,23,none,0,,0
7,95812,30063,39765,25984,3,0.000,0.000,Soft,7,73.3,51.6,36.7,73.3,37.1,1.30,4.0,0,Overcast,33,23,none,1,Medium,0
8,117679,54147,38042,25490,12,9.343,4.192,Medium,1,7.6,5.0,3.4,7.6,3.8,1.40,7.0,3,Overcast,33,23,none,0,,0
9,93011,29336,38209,25466,5,16.578,5.142,Medium,2,16.7,11.0,7.5,16.7,8.9,1.30,11.0,3,Overcast,33,23,none,0,,0
10,93330,28978,38353,25999,3,6.681,5.000,Medium,3,26.1,16.7,11.5,26.1,13.7,1.30,18.0,1,Light Cloud,33,23,none,0,,0
11,93622,29101,38641,25880,3,6.932,4.642,Medium,4,34.5,22.6,15.5,34.5,17.8,1.20,31.0,1,Light Cloud,34,23,none,0,,0
12,94358,29379,38944,26035,3,8.328,3.328,Medium,5,42.8,28.5,19.8,42.8,22.0,1.20,7.0,3,Light Cloud,34,23,none,0,,0
13,94028,29348,38770,25910,3,9.253,2.774,Medium,6,51.8,34.5,24.0,51.8,26.0,1.20,6.0,3,Light Cloud,34,23,none,0,,0
14,94604,29540,39074,25990,3,10.409,1.963,Medium,7,59.9,40.3,28.2,59.9,30.1,1.10,7.0,3,Light Cloud,34,23,none,0,,0
15,94513,29510,38816,26187,3,11.263,1.550,Medium,8,67.8,46.2,32.3,67.8,34.0,1.10,10.0,3,Light Cloud,34,23,none,0,,0
16,94997,29300,39687,26010,3,0.000,0.000,Medium,9,75.4,51.4,36.0,75.4,38.0,1.10,11.0,0,Light Cloud,34,23,none,1,unknown,0
17,116544,53615,37862,25067,5,9.331,0.000,Medium,10,7.3,5.3,3.7,7.3,4.3,1.10,8.0,3,Light Cloud,34,23,none,0,,0
18,92484,28908,37923,25653,3,9.273,2.765,Medium,11,15.5,10.9,7.5,15.5,9.8,1.10,52.0,3,Light Cloud,34,23,none,0,,0
19,92113,29035,37784,25294,3,8.827,2.943,Medium,12,22.6,16.5,11.6,22.6,14.4,1.10,13.0,3,Light Cloud,34,23,none,0,,0
20,92989,29239,38163,25587,3,9.177,2.569,Medium,13,30.0,22.2,15.8,30.0,18.9,1.00,16.0,1,Light Cloud,34,23,none,0,,0
21,93735,29210,38871,25654,3,9.929,1.920,Medium,14,41.1,28.5,20.3,41.1,24.1,1.00,13.0,1,Light Cloud,34,23,none,0,,0
22,93730,29159,38828,25743,3,10.789,2.121,Medium,15,50.1,34.2,24.2,50.1,27.8,1.00,13.0,1,Light Cloud,34,24,none,0,,0
23,94208,29466,38964,25778,3,11.849,1.811,Medium,16,60.3,39.9,28.4,60.3,32.5,0.90,21.0,3,Light Cloud,34,24,none,0,,0
24,94445,29274,39212,25959,3,12.840,0.759,Medium,17,69.7,45.9,32.6,69.7,37.3,0.90,24.0,3,Light Cloud,35,24,none,0,,0
25,95229,29198,38639,27392,3,14.420,0.406,Medium,18,77.3,52.0,36.7,77.3,41.4,0.90,8.0,3,Light Cloud,35,24,none,0,,0
26,95229,32195,40870,22164,0,2.221,5.483,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
