lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,117041,36565,50493,29983,3,2.339,0.618,Medium,1,10.7,10.7,8.4,10.7,8.3,1.40,32.0,3,Light Cloud,31,20,none,0,,0
2,111589,33427,48086,30076,3,1.792,1.673,Medium,2,19.8,17.3,14.2,19.8,16.1,1.40,7.0,0,Light Cloud,31,20,none,0,,0
3,111535,32708,49036,29791,3,0.688,3.100,Medium,3,28.1,23.5,19.9,28.1,23.5,1.40,5.0,3,Light Cloud,31,20,none,0,,1
4,111527,32357,49382,29788,2,2.963,0.909,Medium,4,37.6,29.7,25.6,37.6,29.8,1.30,6.0,3,Light Cloud,31,20,none,0,,0
5,111993,32872,49435,29686,2,1.904,2.900,Medium,5,46.4,35.8,31.1,46.4,35.5,1.30,5.0,3,Light Cloud,31,20,none,0,,0
6,112293,32860,49262,30171,1,0.000,0.000,Medium,6,54.4,41.6,36.5,54.4,41.8,1.30,5.0,3,Light Cloud,31,20,none,0,,0
7,119167,33057,49489,36621,2,0.000,4.744,Medium,7,62.3,47.6,42.0,62.3,48.4,1.30,10.0,0,Light Cloud,31,20,none,1,,0
8,129615,51379,48955,29281,8,5.401,1.022,Medium,8,7.5,5.4,5.0,7.5,5.0,1.30,7.0,3,Light Cloud,30,20,none,0,,1
9,109311,32412,47581,29318,8,0.570,7.131,Medium,9,15.8,11.4,10.3,15.8,10.6,1.20,9.0,0,Light Cloud,30,20,none,0,,0
10,109626,32398,47796,29432,4,0.501,4.250,Medium,10,23.1,17.2,15.8,23.1,16.9,1.20,7.0,3,Overcast,30,20,none,0,,1
11,110553,32272,48695,29586,3,0.713,1.798,Medium,11,30.8,23.8,21.4,30.8,22.2,1.20,5.0,3,Overcast,30,20,none,0,,0
12,111257,32452,48559,30246,2,0.681,1.854,Medium,12,39.4,30.3,27.3,39.4,27.7,1.20,8.0,0,Overcast,30,20,none,0,,1
13,110867,32331,48882,29654,1,0.000,0.000,Medium,13,46.2,36.6,32.7,46.2,32.4,1.20,8.0,3,Overcast,30,20,none,0,,0
14,111690,32694,49152,29844,1,0.000,5.455,Medium,14,53.9,42.8,38.2,53.9,37.4,1.20,5.0,3,Overcast,30,20,none,0,,0
15,111985,33003,49173,29809,1,0.000,17.991,Medium,15,61.4,48.9,43.9,61.4,44.4,1.10,4.0,3,Overcast,30,20,none,0,,0
16,115967,32791,48723,34453,1,0.000,17.272,Medium,16,68.5,55.3,49.5,68.5,49.6,1.10,6.0,0,Overcast,30,20,none,1,Soft,0
17,123693,45806,48419,29468,1,0.000,1.047,Soft,1,10.5,7.9,7.7,10.5,9.7,1.10,5.0,3,Overcast,30,20,none,0,,0
18,110308,32520,48075,29713,1,0.000,2.105,Soft,2,22.6,16.4,15.6,22.6,18.7,1.10,10.0,3,Overcast,30,20,none,0,,0
19,110202,32536,48283,29383,1,0.000,3.815,Soft,3,33.4,25.3,23.2,33.4,26.3,1.10,30.0,3,Overcast,30,20,none,0,,0
20,110990,32215,48650,30125,1,0.000,5.221,Soft,4,44.4,34.5,31.5,44.4,33.2,1.00,8.0,0,Light Cloud,30,20,none,0,,0
21,111573,32764,49003,29806,1,0.000,6.289,Soft,5,54.2,42.8,39.1,54.2,40.5,1.00,55.0,3,Light Cloud,30,20,none,0,,0
22,110435,31935,48862,29638,0,0.000,8.849,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
