lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
2,261637,,,,13,0.000,0.000,Intermediate,1,0.0,0.0,0.0,0.0,0.0,0.60,91.0,1,Storm,27,25,SC,0,,0
4,222913,,,,7,0.000,0.000,Hard,1,0.0,0.0,0.0,0.0,0.0,0.60,98.0,1,Light Cloud,36,25,SC,0,,0
5,86117,29449,28292,28376,1,0.000,1.597,Hard,2,5.9,5.8,4.6,5.9,2.2,1.50,30.0,3,Light Cloud,36,25,none,0,,0
6,84374,27220,28517,28637,1,0.000,2.649,Hard,3,11.4,10.0,7.5,11.4,4.0,1.50,20.0,3,Light Cloud,36,25,none,0,,0
7,84060,27193,28306,28561,1,0.000,4.256,Hard,4,18.3,14.3,10.5,18.3,6.2,1.40,18.0,3,Light Cloud,36,25,none,0,,0
8,84703,27310,28524,28869,1,0.000,5.237,Hard,5,24.8,18.8,13.8,24.8,8.4,1.40,21.0,3,Light Cloud,36,25,none,0,,0
9,84361,27409,28493,28459,1,0.000,6.464,Hard,6,30.3,23.3,16.9,30.3,10.3,1.30,13.0,0,Light Cloud,35,25,none,0,,0
10,85071,27640,28440,28991,1,0.000,7.830,Hard,7,35.9,27.6,20.0,35.9,12.0,1.30,21.0,3,Light Cloud,35,25,none,0,,0
11,84977,27465,28712,28800,1,0.000,8.534,Hard,8,41.5,31.9,23.1,41.5,13.7,1.30,26.0,3,Light Cloud,35,25,none,0,,0
12,85499,27467,28572,29460,1,0.000,8.808,Hard,9,46.9,36.2,26.3,46.9,16.0,1.20,40.0,3,Light Cloud,35,25,none,0,,0
13,84383,27372,28304,28707,1,0.000,9.951,Hard,10,52.0,40.7,29.5,52.0,17.8,1.20,8.0,3,Light Cloud,35,25,none,0,,0
14,85871,27498,28899,29474,1,0.000,9.991,Hard,11,58.1,45.0,32.5,58.1,19.8,1.10,47.0,3,Light Cloud,35,25,none,0,,0
15,88996,27482,28992,32522,1,0.000,10.430,Hard,12,63.7,49.6,36.0,63.7,22.0,1.10,41.0,0,Light Cloud,35,25,none,1,Medium,0
16,102823,46131,28189,28503,3,1.152,2.342,Medium,1,9.1,5.6,3.9,9.1,2.8,1.10,52.0,3,Light Cloud,35,25,none,0,,0
17,84249,27071,28622,28556,1,0.000,0.161,Medium,2,18.9,11.7,8.3,18.9,6.0,1.10,39.0,3,Light Cloud,35,24,none,0,,0
18,84521,27890,28114,28517,1,0.000,2.666,Medium,3,29.3,17.8,12.7,29.3,9.3,1.00,14.0,3,Light Cloud,35,24,none,0,,0
19,84641,27678,28586,28377,1,0.000,9.248,Medium,4,36.7,24.0,17.2,36.7,12.0,1.00,7.0,0,Light Cloud,35,24,none,0,,0
20,85023,27726,28414,28883,1,0.000,16.248,Medium,5,45.5,30.2,21.7,45.5,14.9,1.00,17.0,0,Light Cloud,35,24,none,0,,0
21,85417,27628,29199,28590,1,0.000,15.549,Medium,6,54.7,36.8,26.6,54.7,18.1,0.90,6.0,0,Light Cloud,35,24,none,0,,0
22,88724,27535,28864,32325,1,0.000,15.111,Medium,7,62.4,43.4,31.5,62.4,20.9,0.90,24.0,0,Light Cloud,35,24,none,1,Soft,0
23,102139,46559,27562,28018,2,6.001,2.789,Soft,1,14.7,8.7,5.8,14.7,4.5,0.90,16.0,3,Light Cloud,34,24,none,0,,0
24,83529,27239,27765,28525,2,4.514,5.128,Soft,2,27.2,17.2,11.9,27.2,9.4,0.80,5.0,3,Light Cloud,34,24,none,0,,0
25,83969,27404,28131,28434,2,3.424,7.020,Soft,3,40.7,25.7,18.0,40.7,13.8,0.80,5.0,3,Light Cloud,34,24,none,0,,0
26,85087,27386,29408,28293,2,3.085,9.072,Soft,4,51.7,35.1,24.6,51.7,18.2,0.80,0.0,0,Light Cloud,34,24,none,0,,0
27,85475,27804,29034,28637,0,4.166,10.067,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
