lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,79406,24488,37571,17347,4,0.326,2.199,Medium,1,5.6,5.2,5.6,5.0,4.0,1.40,25.0,0,Clear,36,24,none,0,,0
2,73398,18735,37698,16965,3,0.603,0.906,Medium,2,9.6,8.8,9.6,9.1,8.1,1.40,23.0,3,Clear,36,24,none,0,,1
3,73927,18742,38029,17156,3,0.203,1.292,Medium,3,13.8,12.6,13.8,13.6,13.0,1.40,11.0,3,Clear,36,24,none,0,,1
4,74001,19065,37997,16939,2,0.653,0.846,Medium,4,17.9,16.4,17.9,17.9,17.2,1.40,7.0,3,Clear,36,24,none,0,,1
5,73963,18600,38527,16836,2,0.102,0.806,Medium,5,22.3,20.2,22.3,21.9,21.3,1.40,5.0,3,Clear,36,24,none,0,,1
6,74531,19201,38188,17142,1,0.000,0.899,Medium,6,26.3,23.8,26.3,26.0,24.9,1.40,9.0,3,Light Cloud,35,24,none,0,,0
7,75604,19251,39132,17221,1,0.000,0.155,Medium,7,30.5,27.2,30.5,29.0,28.9,1.40,17.0,3,Light Cloud,35,24,none,0,,0
8,74945,18782,38818,17345,1,0.000,0.661,Medium,8,34.7,30.9,34.7,33.4,32.7,1.40,30.0,3,Light Cloud,35,24,none,0,,0
9,74714,18846,38530,17338,1,0.000,0.275,Medium,9,39.0,34.8,39.0,37.7,37.1,1.40,27.0,0,Light Cloud,35,24,none,0,,0
10,75179,19201,38841,17137,1,0.000,0.885,Medium,10,43.1,38.4,43.1,41.9,40.8,1.30,52.0,3,Light Cloud,35,24,none,0,,0
