lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
2,239541,,,,11,0.000,0.000,Medium,1,0.0,0.0,0.0,0.0,0.0,0.50,91.0,1,Clear,29,23,SC,0,,0
3,98888,38964,30425,29499,4,0.566,1.026,Medium,2,6.7,5.5,6.4,4.7,6.7,1.40,22.0,3,Clear,29,23,none,0,,0
4,95070,35350,30385,29335,3,0.435,0.672,Medium,3,14.0,9.9,11.7,10.4,14.0,1.40,3.0,3,Clear,29,23,none,0,,1
5,96247,35886,30562,29799,2,0.400,1.466,Medium,4,21.0,14.2,16.9,15.1,21.0,1.30,2.0,3,Clear,29,23,none,0,,1
6,97911,36940,31148,29823,2,0.314,0.117,Medium,5,26.8,18.4,22.1,20.4,26.8,1.30,4.0,3,Clear,29,23,none,0,,1
7,96822,36047,30987,29788,1,0.000,0.900,Medium,6,34.8,22.7,27.1,25.4,34.8,1.30,6.0,3,Clear,29,23,none,0,,0
8,97346,36106,30901,30339,1,0.000,1.628,Medium,7,41.9,27.0,32.3,30.0,41.9,1.30,9.0,0,Clear,29,23,none,0,,0
9,97465,36279,31146,30040,1,0.000,1.983,Medium,8,48.8,31.2,37.4,34.8,48.8,1.20,7.0,0,Clear,29,23,none,0,,0
10,98113,36301,31810,30002,1,0.000,1.983,Medium,9,55.6,35.2,42.2,38.7,55.6,1.20,29.0,3,Clear,28,23,none,0,,0
11,98309,36944,31080,30285,1,0.000,1.333,Medium,10,63.3,39.5,47.4,44.1,63.3,1.20,16.0,0,Clear,28,23,none,0,,0
12,97936,36315,31526,30095,1,0.000,0.871,Medium,11,70.3,43.7,52.4,48.5,70.3,1.10,3.0,3,Clear,28,23,none,0,,0
13,100322,36668,31448,32206,1,0.000,0.000,Medium,12,76.2,47.8,57.2,52.8,76.2,1.10,6.0,0,Clear,28,23,none,1,Hard,0
14,111061,50981,30663,29417,5,8.490,4.730,Hard,1,5.0,3.0,3.5,3.5,5.0,1.10,3.0,3,Clear,28,23,none,0,,0
15,94812,34877,30534,29401,1,0.000,6.721,Hard,2,11.1,6.2,7.4,8.0,11.1,1.10,5.0,3,Clear,28,23,none,0,,0
16,94866,35001,30377,29488,1,0.000,8.109,Hard,3,17.6,9.6,11.3,12.3,17.6,1.00,0.0,0,Clear,28,23,none,0,,0
17,95389,35166,31267,28956,1,0.000,8.870,Hard,4,23.5,12.8,15.2,16.4,23.5,1.00,12.0,3,Light Cloud,28,22,none,0,,0
18,95531,35265,30662,29604,1,0.000,8.994,Hard,5,28.5,15.9,18.9,20.3,28.5,1.00,3.0,0,Light Cloud,27,22,none,0,,0
19,96495,35804,30749,29942,1,0.000,9.226,Hard,6,34.4,19.0,22.7,23.3,34.4,1.00,6.0,3,Light Cloud,27,22,none,0,,0
20,97142,35979,31140,30023,1,0.000,8.700,Hard,7,40.4,22.7,26.8,28.0,40.4,0.90,27.0,0,Light Cloud,27,22,none,0,,0
21,97703,36533,31680,29490,1,0.000,7.726,Hard,8,45.2,26.0,30.6,32.1,45.2,0.90,63.0,1,Light Cloud,27,22,none,0,,0
22,96367,35972,30917,29478,1,0.000,8.244,Hard,9,51.2,29.8,35.1,36.4,51.2,0.90,12.0,3,Light Cloud,27,22,none,0,,0
23,97459,36400,31105,29954,1,0.000,7.931,Hard,10,57.1,33.4,39.5,40.2,57.1,0.80,9.0,0,Light Cloud,27,22,none,0,,0
24,97716,35840,31686,30190,1,0.000,6.670,Hard,11,62.4,37.1,43.7,43.8,62.4,0.80,0.0,3,Light Cloud,27,22,none,0,,0
25,98351,36995,31312,30044,1,0.000,5.821,Hard,12,67.3,40.5,47.5,47.8,67.3,0.80,0.0,3,Light Cloud,27,22,none,0,,0
