lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,91730,37386,18470,35874,8,0.313,0.686,Medium,1,4.2,4.2,3.6,3.9,1.9,1.40,22.0,3,Clear,29,20,none,0,,0
2,82733,28566,18510,35657,5,0.321,0.322,Medium,2,8.6,7.9,6.3,8.6,4.5,1.40,4.0,0,Clear,29,20,none,0,,1
3,82915,29398,18323,35194,3,0.494,0.914,Medium,3,13.0,11.3,8.9,13.0,6.7,1.40,5.0,3,Clear,29,20,none,0,,1
4,82240,28657,18554,35029,2,3.503,1.319,Medium,4,17.9,14.8,11.6,17.9,9.6,1.40,11.0,3,Clear,29,20,none,0,,0
5,82391,28768,18551,35072,2,2.351,2.634,Medium,5,22.6,18.3,14.1,22.6,11.7,1.40,7.0,3,Clear,29,20,none,0,,0
6,82894,28754,18639,35501,2,2.012,3.736,Medium,6,26.7,21.8,16.8,26.7,14.0,1.30,11.0,3,Clear,29,20,none,0,,0
7,82327,28925,18177,35225,2,0.877,5.771,Medium,7,30.9,25.2,19.4,30.9,16.0,1.30,6.0,3,Clear,28,20,none,0,,0
8,96770,28715,18410,49645,4,0.000,1.858,Soft,1,0.0,0.0,0.0,0.0,0.0,1.40,38.0,0,Clear,28,20,none,1,unknown,0
9,86450,33309,18617,34524,1,0.000,0.000,Soft,2,7.7,5.2,4.1,7.7,3.0,1.30,14.0,3,Clear,28,20,none,0,,0
10,81231,28392,18255,34584,1,0.000,3.378,Soft,3,14.4,9.9,7.6,14.4,6.0,1.30,18.0,3,Clear,28,20,none,0,,0
11,81261,28160,18509,34592,1,0.000,4.450,Soft,4,21.0,14.7,11.4,21.0,9.3,1.20,11.0,0,Clear,28,20,none,0,,0
12,82083,28871,18469,34743,1,0.000,5.045,Soft,5,27.5,19.4,15.1,27.5,12.5,1.20,22.0,3,Clear,28,20,none,0,,0
13,82289,28595,18601,35093,1,0.000,5.892,Soft,6,33.5,24.1,18.8,33.5,16.0,1.20,18.0,3,Clear,28,20,none,0,,0
14,82312,28831,18418,35063,1,0.000,7.493,Soft,7,39.5,29.1,22.7,39.5,19.2,1.10,17.0,3,Clear,28,20,none,0,,0
15,83265,28600,18805,35860,0,0.000,7.823,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
