lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,83092,29154,24413,29525,5,1.570,0.929,Medium,1,5.0,5.0,5.0,3.4,2.1,1.40,5.0,1,Clear,35,23,none,0,,0
2,75304,21462,23583,30259,4,0.684,0.975,Medium,2,8.8,8.8,8.2,7.5,4.9,1.40,5.0,0,Clear,35,23,none,0,,1
3,75086,21537,23944,29605,3,0.978,1.283,Medium,3,12.2,12.2,11.3,11.0,7.8,1.40,4.0,0,Clear,35,23,none,0,,1
4,74496,21273,23980,29243,2,1.633,0.271,Medium,4,15.5,15.5,14.3,14.5,10.4,1.50,1.0,0,Clear,35,23,none,0,,1
5,75053,21661,23795,29597,2,0.899,1.007,Medium,5,19.0,19.0,17.5,18.2,13.0,1.50,10.0,0,Clear,35,23,none,0,,0
6,74769,21717,23881,29171,1,0.000,0.379,Medium,6,22.6,22.6,20.7,21.8,15.4,1.50,0.0,0,Clear,35,23,none,0,,1
7,77049,21735,24679,30635,1,0.000,0.756,Medium,7,26.3,26.3,24.1,25.0,18.2,1.50,1.0,0,Clear,35,23,none,0,,0
8,76544,22050,24521,29973,1,0.000,1.882,Medium,8,30.0,30.0,27.4,28.3,20.7,1.50,9.0,0,Clear,35,23,none,0,,0
9,76045,21600,24603,29842,1,0.000,2.956,Medium,9,33.8,33.8,30.8,31.6,23.5,1.50,14.0,0,Clear,35,23,none,0,,0
10,91869,22151,24418,45300,5,0.000,1.962,Soft,1,0.0,0.0,0.0,0.0,0.0,1.70,27.0,0,Clear,35,23,none,1,unknown,0
11,75224,22304,23752,29168,1,0.000,0.000,Soft,2,4.0,4.0,3.5,3.6,2.6,1.60,27.0,3,Clear,35,23,none,0,,0
12,73539,20693,23903,28943,1,0.000,7.690,Soft,3,8.4,8.4,7.4,8.2,6.1,1.60,7.0,3,Clear,35,23,none,0,,0
13,74257,21116,24067,29074,1,0.000,8.482,Soft,4,12.8,12.7,11.3,12.8,9.1,1.60,29.0,0,Clear,35,23,none,0,,0
14,74668,21307,24099,29262,1,0.000,8.799,Soft,5,17.4,17.1,15.3,17.4,12.5,1.60,19.0,3,Clear,35,23,none,0,,0
15,75167,21470,24180,29517,1,0.000,8.692,Soft,6,21.8,21.7,19.6,21.8,16.2,1.60,33.0,0,Clear,35,23,none,0,,0
16,75554,21701,24398,29455,1,0.000,8.333,Soft,7,26.4,26.4,23.8,26.2,19.3,1.60,40.0,3,Clear,35,23,none,0,,0
17,77025,21911,24926,30188,1,0.000,6.528,Soft,8,31.2,31.2,28.1,30.4,23.4,1.60,64.0,3,Clear,35,23,none,0,,0
18,75848,21713,24418,29717,0,0.000,5.587,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
