lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,102212,30390,29664,42158,2,1.382,0.429,Medium,1,4.8,4.4,4.2,4.8,3.4,1.50,6.0,3,Clear,30,21,none,0,,0
2,98444,25728,29792,42924,2,0.183,2.612,Medium,2,10.2,7.8,7.3,10.2,6.7,1.50,1.0,3,Clear,30,21,none,0,,1
3,98617,26346,29728,42543,1,0.000,1.790,Medium,3,16.0,11.4,10.6,16.0,10.1,1.50,8.0,3,Clear,30,21,none,0,,0
4,98416,26017,29885,42514,1,0.000,3.763,Medium,4,22.0,14.7,13.7,22.0,13.4,1.50,3.0,0,Clear,30,21,none,0,,0
5,99151,26431,30074,42646,1,0.000,4.954,Medium,5,27.5,18.1,16.7,27.5,16.7,1.40,3.0,0,Clear,30,21,none,0,,0
6,99085,26150,30255,42680,1,0.000,6.511,Medium,6,32.8,21.4,19.6,32.8,19.7,1.40,2.0,0,Clear,30,21,none,0,,0
7,99222,26406,30025,42791,1,0.000,8.198,Medium,7,38.0,24.6,22.7,38.0,22.9,1.40,5.0,3,Clear,30,21,none,0,,0
8,99624,26030,30346,43248,1,0.000,9.690,Medium,8,43.1,28.1,25.8,43.1,26.1,1.40,2.0,3,Clear,30,21,none,0,,0
9,100006,26602,30380,43024,1,0.000,10.878,Medium,9,48.9,31.4,28.8,48.9,29.0,1.40,4.0,3,Clear,30,21,none,0,,0
10,99535,26110,30157,43268,1,0.000,34.900,Medium,10,54.0,34.7,31.8,54.0,32.1,1.40,2.0,3,Clear,30,21,none,0,,0
11,100928,26849,30681,43398,1,0.000,31.911,Medium,11,59.4,37.9,34.8,59.4,35.3,1.40,6.0,3,Clear,30,21,none,0,,0
12,105098,26403,30436,48259,1,0.000,31.187,Medium,12,64.6,41.1,37.6,64.6,38.0,1.50,9.0,0,Clear,30,21,none,1,Soft,0
13,115917,43770,29550,42597,1,0.000,10.043,Soft,1,7.8,4.4,4.0,7.8,4.4,1.40,73.0,3,Clear,30,21,none,0,,0
14,96581,25250,29273,42058,0,0.000,12.803,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
