lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,100232,39971,42121,18140,9,0.081,0.598,Medium,1,4.1,3.5,3.6,3.3,4.1,1.50,25.0,3,Clear,25,17,none,0,,0
2,95118,34839,42131,18148,7,0.210,0.969,Medium,2,9.5,6.7,6.7,8.9,9.5,1.50,6.0,3,Clear,25,17,none,0,,1
3,95244,36145,40967,18132,6,0.298,1.224,Medium,3,14.1,10.2,9.4,13.0,14.1,1.50,13.0,3,Clear,25,17,none,0,,0
4,94732,34792,41856,18084,4,2.008,1.332,Medium,4,18.6,13.3,12.4,17.6,18.6,1.50,19.0,3,Clear,25,17,none,0,,0
5,93069,34371,40392,18306,4,0.339,4.327,Medium,5,23.2,16.3,15.3,22.2,23.2,1.50,20.0,3,Clear,25,17,none,0,,1
6,94894,35251,41458,18185,2,5.582,0.000,Medium,6,27.6,19.7,18.2,25.9,27.6,1.50,13.0,0,Clear,25,17,none,0,,0
7,94145,34929,41064,18152,2,5.424,0.000,Medium,7,31.8,22.6,21.0,30.7,31.8,1.40,32.0,3,Clear,25,17,none,0,,0
8,93951,35157,40614,18180,1,0.000,9.626,Medium,8,36.0,25.5,23.8,35.2,36.0,1.40,27.0,3,Clear,25,17,none,0,,0
9,95763,34587,41064,20112,1,0.000,15.877,Medium,9,40.4,28.4,26.7,39.6,40.4,1.40,13.0,0,Clear,25,17,none,1,Soft,0
10,111942,54381,39859,17702,2,4.743,0.937,Soft,1,5.8,3.8,3.7,4.1,5.8,1.40,16.0,3,Clear,25,17,none,0,,1
11,91272,33582,39952,17738,2,2.902,3.572,Soft,2,13.0,8.2,7.8,12.0,13.0,1.40,4.0,3,Clear,25,17,none,0,,0
12,92410,34435,40031,17944,2,1.705,5.359,Soft,3,19.0,12.3,12.0,18.9,19.0,1.40,5.0,3,Clear,25,17,none,0,,0
13,92011,34039,40222,17750,0,0.659,6.870,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
