lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,98705,34904,40579,23222,5,0.251,2.186,Soft,1,6.9,6.9,6.5,6.2,4.3,1.40,0.0,3,Clear,28,23,none,0,,0
2,93599,30494,40051,23054,2,1.997,2.397,Soft,2,11.8,11.8,11.0,11.6,8.7,1.50,2.0,0,Clear,28,23,none,0,,0
3,93552,30391,40076,23085,2,0.836,4.215,Soft,3,18.0,17.1,15.4,18.0,12.8,1.40,4.0,3,Clear,28,23,none,0,,0
4,94719,30165,41175,23379,2,0.314,4.262,Soft,4,24.4,22.4,19.8,24.4,16.2,1.40,22.0,0,Clear,28,23,none,0,,1
5,93697,30080,40536,23081,1,0.000,2.068,Soft,5,30.5,27.4,24.0,30.5,19.9,1.40,13.0,0,Clear,28,23,none,0,,0
6,94629,30685,40690,23254,1,0.000,3.717,Soft,6,37.0,32.3,28.3,37.0,23.4,1.40,33.0,3,Clear,28,23,none,0,,0
7,96159,30330,41032,24797,1,0.000,4.543,Soft,7,43.2,37.8,32.9,43.2,27.5,1.40,3.0,0,Clear,28,23,none,1,Medium,0
8,114041,50545,40560,22936,4,1.304,0.000,Medium,1,4.2,3.5,3.1,4.2,2.7,1.40,5.0,3,Clear,28,23,none,0,,1
9,93281,29836,40555,22890,1,0.000,11.068,Medium,2,8.5,7.0,6.2,8.5,5.5,1.40,17.0,1,Clear,28,23,none,0,,0
10,94362,30612,40661,23089,1,0.000,12.618,Medium,3,13.3,10.7,9.3,13.3,8.8,1.40,73.0,2,Clear,28,23,none,0,,0
11,93009,29823,39996,23190,1,0.000,14.641,Medium,4,18.2,14.7,12.7,18.2,11.8,1.40,49.0,2,Clear,28,23,none,0,,0
12,93300,29950,40212,23138,1,0.000,16.224,Medium,5,23.2,18.7,16.1,23.2,14.7,1.40,26.0,2,Clear,28,23,none,0,,0
13,93453,29981,40181,23291,1,0.000,18.492,Medium,6,28.1,22.7,19.5,28.1,17.7,1.40,7.0,2,Clear,28,23,none,0,,0
14,95151,30230,40521,24400,0,0.000,19.125,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
