lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101378,41005,30074,30299,9,0.942,0.946,Medium,1,5.6,4.2,5.0,3.2,5.6,1.50,34.0,3,Clear,26,22,none,0,,0
2,94377,35086,30088,29203,7,1.105,1.197,Medium,2,11.2,7.6,9.1,7.6,11.2,1.40,10.0,0,Clear,26,22,none,0,,0
3,94264,35148,30293,28823,7,0.462,2.098,Medium,3,16.9,10.8,12.9,12.0,16.9,1.40,1.0,0,Clear,26,22,none,0,,1
4,95335,35926,30053,29356,5,0.132,1.331,Medium,4,22.7,14.3,17.0,16.1,22.7,1.40,0.0,3,Clear,26,22,none,0,,1
5,97504,36486,30737,30281,1,0.000,0.658,Medium,5,27.9,17.4,20.8,19.1,27.9,1.40,9.0,0,Clear,26,22,none,0,,0
6,95047,35335,30251,29461,1,0.000,2.616,Medium,6,33.3,20.5,24.6,21.9,33.3,1.30,7.0,0,Clear,26,21,none,0,,0
7,96464,36303,30478,29683,1,0.000,3.034,Medium,7,38.2,23.5,28.2,24.9,38.2,1.30,17.0,0,Clear,26,21,none,0,,0
8,94753,35064,30357,29332,1,0.000,8.650,Medium,8,43.5,26.6,31.9,28.2,43.5,1.30,0.0,3,Clear,26,21,none,0,,0
9,98089,35524,30631,31934,1,0.000,18.417,Medium,9,49.0,29.9,35.9,31.4,49.0,1.30,19.0,0,Clear,26,21,none,1,Soft,0
10,109602,50886,29357,29359,1,0.000,2.839,Soft,1,8.4,5.2,6.1,6.1,8.4,1.30,17.0,0,Clear,26,21,none,0,,0
11,95355,35076,30748,29531,1,0.000,2.984,Soft,2,16.9,9.8,11.5,12.5,16.9,1.20,75.0,3,Clear,26,21,none,0,,0
12,93346,34271,29779,29296,1,0.000,6.030,Soft,3,25.4,14.7,17.7,18.0,25.4,1.20,25.0,0,Clear,26,21,none,0,,0
13,94401,34766,30464,29171,1,0.000,6.734,Soft,4,34.8,19.9,24.0,23.2,34.8,1.10,0.0,3,Clear,26,21,none,0,,0
