lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,97453,37349,33780,26324,5,0.635,0.410,Medium,1,6.8,4.5,5.4,3.5,6.8,2.50,1.0,3,Clear,43,30,none,0,,0
2,92220,32448,33757,26015,4,0.183,1.628,Medium,2,13.6,8.3,9.6,7.7,13.6,2.50,0.0,3,Clear,43,30,none,0,,1
3,92051,31931,33949,26171,2,1.237,0.600,Medium,3,19.5,12.0,13.6,11.2,19.5,2.50,3.0,3,Clear,43,30,none,0,,0
4,92059,32196,33682,26181,1,0.000,0.561,Medium,4,25.5,15.3,17.4,14.4,25.5,2.50,21.0,0,Clear,43,30,none,0,,0
5,92959,32477,34181,26301,1,0.000,0.941,Medium,5,31.7,18.8,21.5,17.8,31.7,2.50,6.0,0,Clear,43,30,none,0,,0
6,93322,32269,33926,27127,1,0.000,1.092,Medium,6,37.5,22.1,25.4,20.8,37.5,2.50,29.0,0,Clear,42,30,none,0,,0
7,93230,32470,34576,26184,1,0.000,1.354,Medium,7,42.1,25.4,29.2,23.9,42.1,2.50,16.0,0,Clear,42,30,none,0,,0
8,93610,32585,34387,26638,1,0.000,0.000,Medium,8,48.0,28.8,33.1,27.6,48.0,2.50,37.0,0,Clear,42,30,none,0,,0
9,93544,32983,34362,26199,1,0.000,19.971,Medium,9,53.8,32.3,37.0,30.7,53.8,2.40,36.0,0,Clear,42,30,none,0,,0
10,98606,33344,34900,30362,1,0.000,19.245,Medium,10,58.8,35.5,40.7,34.1,58.8,2.50,32.0,0,Clear,42,30,none,1,Hard,0
11,105196,45552,33257,26387,1,0.000,2.490,Hard,1,4.8,2.2,2.8,2.1,4.8,2.50,34.0,3,Clear,42,30,none,0,,0
12,90831,30991,33583,26257,1,0.000,4.422,Hard,2,8.9,4.9,5.9,4.8,8.9,2.50,2.0,0,Clear,42,30,none,0,,0
13,93128,32947,34140,26041,1,0.000,4.227,Hard,3,14.5,7.3,8.9,7.6,14.5,2.50,12.0,0,Clear,42,29,none,0,,0
14,92769,32220,33973,26576,0,0.000,3.426,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
