lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86386,32211,27999,26176,8,0.485,1.419,Medium,1,4.6,4.6,4.5,2.8,4.2,1.40,15.0,0,Clear,34,22,none,0,,0
2,81883,26749,28816,26318,8,0.508,1.529,Medium,2,9.1,7.4,8.0,5.1,9.1,1.40,2.0,3,Clear,34,22,none,0,,1
3,81144,26260,27695,27189,7,1.172,2.391,Medium,3,14.1,10.2,11.5,7.8,14.1,1.40,8.0,3,Clear,34,22,none,0,,0
4,80730,26532,27542,26656,7,0.489,2.535,Medium,4,19.1,13.0,14.8,10.6,19.1,1.40,12.0,3,Clear,34,22,none,0,,1
5,81479,27211,27662,26606,7,0.275,2.392,Medium,5,23.6,16.0,18.3,13.6,23.6,1.30,20.0,3,Clear,34,22,none,0,,1
6,81849,26383,27939,27527,7,0.202,1.978,Medium,6,27.2,18.9,21.5,16.6,27.2,1.30,33.0,3,Clear,34,22,none,0,,1
7,80814,25791,28136,26887,5,3.811,0.000,Medium,7,32.1,21.7,24.9,18.9,32.1,1.30,28.0,3,Clear,34,22,none,0,,0
8,80839,26108,27868,26863,1,0.000,0.000,Medium,8,36.5,24.6,28.2,21.6,36.5,1.30,3.0,3,Clear,34,22,none,0,,0
9,81152,26634,27688,26830,1,0.000,17.147,Medium,9,40.8,27.4,31.5,23.8,40.8,1.20,39.0,3,Clear,34,22,none,0,,0
10,84839,25556,27941,31342,1,0.000,16.052,Medium,10,45.6,30.3,35.0,26.5,45.6,1.20,6.0,0,Clear,34,22,none,1,Hard,0
11,102327,48146,26900,27281,5,3.317,1.430,Hard,1,3.4,2.0,2.3,2.3,3.4,1.20,6.0,3,Clear,34,22,none,0,,0
12,79304,26076,27037,26191,5,1.906,2.905,Hard,2,6.9,4.0,4.6,4.5,6.9,1.20,14.0,0,Clear,34,22,none,0,,0
13,79439,25736,26880,26823,5,0.160,4.157,Hard,3,10.2,6.0,7.0,6.7,10.2,1.20,17.0,3,Clear,34,22,none,0,,1
14,78635,25124,27193,26318,4,0.357,2.272,Hard,4,13.6,7.9,9.3,8.6,13.6,1.20,19.0,3,Clear,34,22,none,0,,1
15,79627,25808,27661,26158,2,4.554,1.441,Hard,5,16.7,9.8,11.7,10.5,16.7,1.20,4.0,0,Clear,34,22,none,0,,0
16,79800,26128,27333,26339,0,4.100,1.871,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
