lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86162,27789,38219,20154,6,1.454,1.082,Soft,1,6.0,6.0,5.9,3.1,4.6,1.50,54.0,3,Clear,33,22,none,0,,0
2,76038,19782,35945,20311,4,1.784,0.719,Soft,2,11.1,11.1,10.8,7.2,11.0,1.50,11.0,0,Clear,33,22,none,0,,0
3,76639,20407,35821,20411,4,0.757,3.291,Soft,3,17.6,16.3,15.7,11.7,17.6,1.50,10.0,3,Clear,33,22,none,0,,1
4,77028,20609,36268,20151,3,0.338,0.684,Soft,4,23.5,21.4,20.6,15.9,23.5,1.50,2.0,0,Clear,33,22,none,0,,1
5,78492,20670,37335,20487,2,1.830,1.226,Soft,5,29.4,27.4,25.7,20.3,29.4,1.50,3.0,0,Clear,33,22,none,0,,0
6,92959,20588,36217,36154,9,0.000,1.649,Medium,1,0.0,0.0,0.0,0.0,0.0,1.60,10.0,0,Clear,33,22,none,1,,0
7,79603,23188,36235,20180,5,5.930,1.062,Medium,2,3.4,2.9,2.9,2.2,3.4,1.60,3.0,3,Clear,33,22,none,0,,1
8,75967,19934,36171,19862,1,0.000,0.000,Medium,3,7.5,6.4,6.0,5.5,7.5,1.60,5.0,3,Clear,33,22,none,0,,0
9,75415,20028,35399,19988,1,0.000,5.448,Medium,4,11.6,9.7,9.0,8.6,11.6,1.50,15.0,0,Clear,33,22,none,0,,0
10,75536,20250,35345,19941,1,0.000,6.267,Medium,5,15.5,12.8,11.9,11.6,15.5,1.50,23.0,3,Clear,33,22,none,0,,0
11,76340,20425,35868,20047,1,0.000,6.729,Medium,6,19.7,16.0,14.9,14.6,19.7,1.50,22.0,0,Clear,33,22,none,0,,0
12,76517,20461,35696,20360,1,0.000,7.771,Medium,7,23.7,19.2,17.9,17.6,23.7,1.50,35.0,0,Clear,33,22,none,0,,0
13,77169,20734,35558,20877,1,0.000,7.908,Medium,8,27.6,22.4,20.9,20.6,27.6,1.50,55.0,0,Clear,33,22,none,0,,0
14,93085,20755,35847,36483,1,0.000,0.000,Medium,9,0.0,0.0,0.0,0.0,0.0,1.60,60.0,0,Clear,33,22,none,1,unknown,0
15,78535,23385,35544,19606,1,0.000,10.245,Medium,10,3.5,3.0,2.8,2.6,3.5,1.60,63.0,0,Clear,33,22,none,0,,0
16,74337,19771,34698,19868,1,0.000,12.526,Medium,11,7.7,6.2,5.7,5.6,7.7,1.50,54.0,0,Clear,33,22,none,0,,0
17,75197,19815,35534,19848,1,0.000,13.578,Medium,12,12.1,9.4,8.8,8.7,12.1,1.50,55.0,0,Clear,33,22,none,0,,0
18,74774,19851,35028,19895,1,0.000,15.182,Medium,13,16.2,12.6,11.8,11.5,16.2,1.50,35.0,0,Clear,33,22,none,0,,0
19,76368,20496,36021,19851,1,0.000,15.319,Medium,14,20.3,15.6,14.7,14.5,20.3,1.50,60.0,3,Clear,33,22,none,0,,0
20,76125,20345,35849,19931,0,0.000,16.565,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
