lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,84327,28852,32226,23249,8,0.410,1.351,Soft,1,4.8,4.4,3.2,4.8,2.0,1.40,46.0,3,Clear,37,25,none,0,,0
2,78314,23266,31769,23279,5,0.979,0.561,Soft,2,10.5,8.4,5.8,10.5,4.1,1.40,23.0,3,Clear,37,25,none,0,,0
3,77070,23147,30749,23174,5,0.420,1.802,Soft,3,17.0,12.1,8.2,17.0,6.6,1.40,26.0,3,Clear,37,25,none,0,,1
4,78116,23031,31486,23599,4,1.526,0.503,Soft,4,22.8,15.6,10.5,22.8,8.8,1.40,51.0,3,Clear,37,25,none,0,,0
5,78186,23216,31546,23424,4,0.974,2.224,Soft,5,28.2,19.3,12.8,28.2,11.2,1.40,48.0,3,Clear,37,25,none,0,,1
6,77740,22897,31467,23376,3,2.700,0.452,Soft,6,34.2,23.1,15.4,34.2,13.6,1.40,36.0,3,Clear,37,25,none,0,,0
7,77933,23077,31457,23399,3,2.211,1.170,Soft,7,39.3,26.8,17.8,39.3,16.0,1.40,28.0,3,Clear,37,25,none,0,,0
8,78371,23243,31731,23397,3,1.832,2.227,Soft,8,45.6,30.5,20.3,45.6,18.5,1.40,17.0,3,Clear,37,25,none,0,,0
9,81752,23303,31533,26916,4,0.000,2.051,Soft,9,51.5,34.1,22.8,51.5,21.0,1.50,17.0,0,Clear,37,25,none,1,Medium,0
10,95613,41432,31159,23022,7,0.653,0.000,Medium,1,4.3,2.5,1.6,4.3,1.8,1.50,29.0,3,Clear,37,25,none,0,,0
11,78415,23134,32061,23220,2,6.593,2.965,Medium,2,8.5,4.9,3.2,8.5,3.6,1.50,60.0,3,Clear,37,25,none,0,,0
12,76877,23018,30959,22900,2,6.415,5.061,Medium,3,13.0,7.6,5.0,13.0,5.6,1.50,21.0,3,Clear,37,25,none,0,,0
13,76815,22959,30864,22992,2,5.950,9.024,Medium,4,17.5,10.3,6.7,17.5,7.5,1.50,11.0,3,Clear,37,25,none,0,,0
14,77388,23129,31221,23038,2,6.115,10.092,Medium,5,22.0,13.2,8.5,22.0,9.4,1.50,6.0,3,Clear,37,25,none,0,,0
15,77938,23241,30974,23723,2,6.550,10.849,Medium,6,26.1,15.9,10.2,26.1,11.2,1.50,20.0,3,Clear,37,25,none,0,,0
16,77842,23292,31437,23113,2,6.786,11.978,Medium,7,30.7,18.6,12.0,30.7,13.0,1.50,43.0,3,Clear,37,25,none,0,,0
17,77842,23224,31615,23003,0,7.495,12.364,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
