lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,78135,23262,33658,21215,12,0.209,1.056,Medium,1,4.4,4.4,4.3,4.4,3.4,1.50,33.0,3,Clear,33,22,none,0,,0
2,69629,17151,31382,21096,7,1.312,0.940,Medium,2,8.8,7.9,7.7,8.8,7.6,1.50,8.0,2,Clear,33,22,none,0,,0
3,70461,16834,32369,21258,6,0.294,0.387,Medium,3,14.4,11.3,10.9,14.4,12.2,1.50,3.0,3,Clear,33,22,none,0,,1
4,69464,17111,31177,21176,5,0.438,0.649,Medium,4,19.2,14.8,14.1,19.2,15.8,1.60,1.0,3,Clear,33,22,none,0,,1
5,70226,17096,31760,21370,4,0.429,0.393,Medium,5,24.3,18.1,17.2,24.3,19.6,1.60,0.0,3,Clear,33,22,none,0,,1
6,70227,17161,31659,21407,3,3.996,1.248,Medium,6,29.2,21.3,20.3,29.2,24.4,1.60,0.0,3,Clear,33,22,none,0,,0
7,70142,17054,31466,21622,3,3.353,3.674,Medium,7,34.8,24.6,23.5,34.8,27.7,1.60,0.0,3,Clear,33,22,none,0,,0
8,73560,17143,31604,24813,3,0.000,4.405,Medium,8,37.3,27.4,26.3,37.3,31.2,1.60,10.0,0,Clear,33,22,none,1,Hard,0
9,85284,32922,30988,21374,11,0.378,0.000,Hard,1,3.3,2.2,2.3,2.8,3.3,1.70,1.0,3,Clear,33,22,none,0,,0
10,70731,17161,31436,22134,8,3.294,0.000,Hard,2,6.1,4.4,4.5,5.9,6.1,1.60,0.0,3,Clear,33,22,none,0,,0
11,69877,17323,31190,21364,3,2.035,6.793,Hard,3,10.2,7.0,6.9,10.2,10.2,1.60,0.0,3,Clear,33,22,none,0,,0
12,69941,17507,31022,21412,3,1.812,6.617,Hard,4,13.9,9.6,9.4,13.9,13.2,1.60,0.0,3,Clear,33,22,none,0,,0
13,70780,17126,31605,22049,3,2.271,5.611,Hard,5,18.2,12.1,11.6,18.2,17.0,1.60,0.0,3,Clear,33,22,none,0,,0
14,70306,17467,31196,21643,3,2.327,5.208,Hard,6,21.6,14.6,13.9,21.6,20.6,1.60,0.0,3,Clear,33,22,none,0,,0
15,70501,17202,31650,21649,3,2.546,4.636,Hard,7,25.7,17.2,16.3,25.7,24.1,1.60,1.0,3,Clear,33,22,none,0,,0
16,70380,17235,31751,21394,3,2.452,4.373,Hard,8,29.4,19.9,18.6,29.4,26.4,1.60,0.0,3,Clear,33,22,none,0,,0
17,71208,17455,31955,21798,3,2.970,3.366,Hard,9,32.3,22.2,21.0,32.3,29.0,1.60,0.0,3,Clear,33,22,none,0,,0
18,83476,20542,40415,22519,0,0.347,7.667,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
