lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86486,34684,30758,21044,5,0.263,0.673,Medium,1,5.2,5.2,4.9,3.6,2.6,2.60,33.0,3,Clear,38,25,none,0,,0
2,80878,30089,30489,20300,2,0.537,0.723,Medium,2,9.4,9.4,8.8,7.4,5.4,2.50,42.0,3,Clear,37,25,none,0,,0
3,80066,29214,30285,20567,1,0.000,0.472,Medium,3,14.0,14.0,12.7,11.6,8.1,2.50,36.0,3,Clear,37,25,none,0,,0
4,81872,30955,30288,20629,1,0.000,2.091,Medium,4,18.6,18.6,17.0,15.4,11.5,2.50,35.0,3,Clear,37,25,none,0,,0
5,81690,30288,30591,20811,1,0.000,2.059,Medium,5,23.0,23.0,20.9,19.3,14.5,2.40,74.0,3,Clear,37,25,none,0,,0
6,81886,30449,30585,20852,1,0.000,1.331,Medium,6,27.7,27.7,25.2,23.2,17.4,2.40,40.0,3,Clear,37,25,none,0,,0
7,83109,30436,31519,21154,1,0.000,1.084,Medium,7,32.4,32.4,29.0,27.2,19.8,2.40,40.0,3,Clear,37,25,none,0,,0
8,83591,30725,31701,21165,1,0.000,0.343,Medium,8,36.9,36.9,33.1,31.2,22.6,2.30,86.0,3,Clear,37,25,none,0,,0
9,82504,30352,31214,20938,1,0.000,0.444,Medium,9,42.0,42.0,37.5,34.6,25.0,2.30,37.0,3,Clear,37,25,none,0,,0
10,85740,31858,31147,22735,2,0.000,0.645,Medium,10,47.0,47.0,41.8,38.1,27.5,2.30,60.0,0,Clear,37,25,none,1,Hard,0
11,101064,49538,30944,20582,5,0.131,0.000,Hard,1,2.0,2.0,1.9,1.7,1.7,2.30,40.0,3,Clear,37,25,none,0,,0
12,79701,29150,29970,20581,1,0.000,1.689,Hard,2,4.2,4.2,3.9,4.1,3.2,2.30,20.0,3,Clear,37,25,none,0,,0
13,80642,30308,29891,20443,1,0.000,1.274,Hard,3,6.4,6.4,5.9,6.3,4.8,2.30,50.0,3,Clear,36,25,none,0,,0
14,80766,30360,29951,20455,1,0.000,1.607,Hard,4,8.7,8.7,8.0,8.5,6.7,2.30,67.0,3,Clear,36,25,none,0,,0
15,81574,30600,30339,20635,1,0.000,1.111,Hard,5,11.0,11.0,10.0,10.7,8.5,2.30,69.0,3,Clear,36,25,none,0,,0
16,80999,29933,30501,20565,1,0.000,1.495,Hard,6,13.3,13.3,12.2,12.8,10.2,2.20,48.0,3,Clear,36,25,none,0,,0
17,81147,30023,30239,20885,1,0.000,3.420,Hard,7,15.8,15.8,14.3,15.2,11.8,2.20,55.0,3,Clear,36,25,none,0,,0
18,80712,30018,30052,20642,0,0.000,4.357,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
