lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101103,35607,39579,25917,15,0.512,0.000,Soft,1,9.2,6.8,5.1,9.2,4.5,1.90,33.0,3,Clear,39,26,none,0,,0
2,92306,28618,37903,25785,13,0.749,0.434,Soft,2,18.8,12.1,9.1,18.8,9.5,1.90,3.0,3,Clear,39,26,none,0,,0
3,93370,29037,38545,25788,13,0.989,1.156,Soft,3,29.8,17.2,13.1,29.8,15.4,1.90,4.0,3,Clear,39,26,none,0,,0
4,95791,29321,39993,26477,14,0.665,0.562,Soft,4,39.2,21.8,16.7,39.2,20.4,1.80,4.0,3,Clear,39,26,none,0,,0
5,94686,29193,39100,26393,14,0.732,1.350,Soft,5,48.1,26.6,20.2,48.1,24.8,1.80,5.0,1,Clear,39,26,none,0,,0
6,96578,29300,39102,28176,13,0.000,0.000,Soft,6,57.0,30.9,23.4,57.0,29.6,1.80,10.0,0,Clear,39,26,SC,1,Medium,0
7,139433,164,46801,92468,15,1.728,1.030,Medium,1,1.6,1.6,1.2,1.6,0.6,1.90,32.0,1,Clear,39,26,SC,0,,0
8,111111,29845,43030,38236,14,0.465,0.592,Medium,2,6.8,4.3,3.3,6.8,3.0,2.00,59.0,3,Clear,39,26,none,0,,0
9,93101,28794,38131,26176,13,0.491,0.502,Medium,3,14.3,8.0,6.0,14.3,6.1,1.90,5.0,3,Clear,39,26,none,0,,0
10,93456,29109,38409,25938,12,1.853,0.566,Medium,4,21.1,11.5,8.6,21.1,9.3,1.90,15.0,3,Clear,39,26,none,0,,0
11,94057,29178,38385,26494,13,0.783,0.476,Medium,5,28.3,15.3,11.4,28.3,12.8,1.80,5.0,3,Clear,39,26,none,0,,0
12,93232,29042,38409,25781,13,0.720,0.886,Medium,6,35.4,19.0,14.0,35.4,16.1,1.70,15.0,1,Clear,39,26,none,0,,0
13,93232,29137,38479,25616,13,1.376,0.516,Medium,7,43.3,22.6,16.8,43.3,19.6,1.70,7.0,1,Clear,39,26,none,0,,0
