lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,116141,36815,49487,29839,6,0.094,0.778,Soft,1,7.7,7.7,7.2,6.7,7.4,2.40,37.0,3,Clear,27,19,none,0,,0
2,108763,31855,47300,29608,5,1.234,1.499,Soft,2,17.2,14.7,13.5,17.2,15.8,2.40,0.0,3,Clear,27,19,none,0,,0
3,110235,32317,47970,29948,5,0.865,2.135,Soft,3,27.8,21.4,19.5,27.8,24.1,2.30,4.0,3,Clear,27,19,none,0,,1
4,110638,31970,48983,29685,5,0.498,2.842,Soft,4,38.4,28.4,25.7,38.4,32.9,2.30,1.0,3,Clear,27,19,none,0,,0
5,115728,32841,48879,34008,4,0.000,0.000,Soft,5,47.6,34.9,31.5,47.6,40.0,2.30,3.0,0,Clear,27,19,none,1,Medium,0
6,124048,45930,48411,29707,3,0.934,0.000,Medium,1,6.0,3.8,3.5,6.0,5.1,2.30,4.0,3,Clear,27,19,none,0,,1
7,109049,32537,47225,29287,1,0.000,1.360,Medium,2,12.1,8.0,7.6,12.1,9.9,2.30,7.0,1,Clear,27,19,none,0,,0
8,110091,32547,47912,29632,1,0.000,1.141,Medium,3,17.8,12.1,11.5,17.8,14.7,2.30,29.0,1,Clear,27,19,none,0,,0
9,109934,32367,47871,29696,1,0.000,1.160,Medium,4,24.3,16.6,15.5,24.3,19.6,2.20,51.0,1,Clear,27,19,none,0,,0
10,110615,32390,48435,29790,1,0.000,1.526,Medium,5,30.2,20.8,19.5,30.2,24.7,2.20,73.0,1,Clear,27,19,none,0,,0
11,121372,33535,52979,34858,0,0.284,0.674,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
