lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,89486,35352,30368,23766,8,0.443,0.343,Medium,1,3.7,3.7,3.2,3.5,2.5,2.50,9.0,3,Clear,37,25,none,0,,0
2,88738,35055,30145,23538,18,0.575,0.922,Medium,2,8.4,8.4,6.8,7.4,5.7,2.50,1.0,3,Clear,37,25,none,0,,1
3,82285,28908,29541,23836,17,0.838,0.364,Medium,3,11.9,11.5,9.3,11.9,9.1,2.50,1.0,3,Clear,37,25,none,0,,1
4,82479,28997,29762,23720,16,0.811,0.767,Medium,4,16.0,14.4,11.8,16.0,12.4,2.50,3.0,3,Clear,37,25,none,0,,1
5,82586,28943,29868,23775,15,0.781,0.411,Medium,5,20.3,17.4,14.3,20.3,15.5,2.50,1.0,3,Clear,37,25,none,0,,1
6,83427,29113,30153,24161,15,0.921,0.220,Medium,6,24.4,20.4,16.7,24.4,18.5,2.50,1.0,3,Clear,37,25,none,0,,1
7,83314,29099,30062,24153,15,0.918,0.161,Medium,7,29.2,23.2,19.1,29.2,21.6,2.50,0.0,3,Clear,37,25,none,0,,1
8,83930,29646,30278,24006,15,1.245,0.363,Medium,8,33.5,26.1,21.6,33.5,24.4,2.50,1.0,3,Clear,37,25,none,0,,0
9,86775,29596,29860,27319,18,0.000,0.000,Medium,9,37.4,28.8,23.9,37.4,27.7,2.60,7.0,0,Clear,37,25,none,1,Hard,0
10,99546,45906,29728,23912,18,0.620,2.734,Hard,1,2.9,2.0,1.7,2.9,2.2,2.60,0.0,3,Clear,37,25,none,0,,1
11,82973,29206,29848,23919,12,1.482,0.758,Hard,2,6.3,4.1,3.4,6.3,4.6,2.60,0.0,3,Clear,37,25,none,0,,0
12,81667,28877,29267,23523,12,0.792,1.875,Hard,3,9.8,6.0,5.1,9.8,7.0,2.60,3.0,3,Clear,37,25,none,0,,1
13,82095,28755,29527,23813,11,1.648,1.033,Hard,4,13.1,8.1,6.8,13.1,9.3,2.60,2.0,3,Clear,37,25,none,0,,0
14,82013,28994,29375,23644,11,1.378,1.821,Hard,5,16.6,10.1,8.4,16.6,11.6,2.60,1.0,3,Clear,37,25,none,0,,0
15,82273,28973,29532,23768,11,0.686,2.168,Hard,6,20.1,12.1,10.0,20.1,13.9,2.60,1.0,3,Clear,37,25,none,0,,1
16,82735,29292,29510,23933,10,1.103,0.683,Hard,7,23.5,14.1,11.7,23.5,16.1,2.60,1.0,3,Clear,37,25,none,0,,1
17,83244,28943,30026,24275,9,1.917,0.480,Hard,8,27.2,16.4,13.5,27.2,18.3,2.60,0.0,3,Clear,37,25,none,0,,0
18,84504,29516,30916,24072,0,3.565,0.545,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
