lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,83671,34317,26764,22590,15,0.172,1.026,Soft,1,9.4,7.2,4.8,9.4,2.4,2.60,40.0,3,Clear,31,20,none,0,,0
2,76862,27214,26730,22918,11,1.099,0.180,Soft,2,18.7,12.7,8.1,18.7,5.4,2.60,2.0,3,Clear,31,20,none,0,,0
3,75574,26025,26785,22764,11,1.594,0.367,Soft,3,26.9,17.7,11.0,26.9,8.6,2.60,0.0,1,Clear,31,20,none,0,,0
4,77343,26493,27312,23538,11,2.368,0.305,Soft,4,35.5,22.8,13.9,35.5,12.0,2.60,0.0,1,Clear,31,20,none,0,,0
5,76942,26771,26852,23319,12,2.084,0.251,Soft,5,44.5,27.6,16.8,44.5,15.3,2.50,0.0,3,Clear,31,20,none,0,,0
6,77349,26635,27004,23710,12,0.000,0.189,Soft,6,52.5,32.8,19.6,52.5,18.2,2.50,0.0,3,Clear,31,20,none,0,,0
7,77406,26653,27153,23600,11,3.294,0.145,Soft,7,60.0,37.7,22.4,60.0,21.0,2.50,0.0,3,Clear,30,20,none,0,,0
8,77461,26792,27176,23493,12,65.516,0.706,Soft,8,67.5,42.9,25.2,67.5,23.7,2.50,0.0,3,Clear,30,20,none,0,,0
9,80346,27075,27276,25995,10,0.000,0.000,Soft,9,74.1,47.3,28.1,74.1,26.7,2.50,10.0,0,Clear,30,20,none,1,Medium,0
10,93471,43618,26541,23312,13,1.061,1.844,Medium,1,5.1,3.4,2.1,5.1,2.0,2.50,0.0,3,Clear,30,20,none,0,,1
11,75255,25767,26249,23239,12,1.269,2.464,Medium,2,12.0,7.3,4.3,12.0,4.4,2.50,0.0,3,Clear,30,20,none,0,,1
12,75595,26001,26271,23323,12,2.000,3.280,Medium,3,19.0,11.1,6.4,19.0,6.6,2.50,2.0,1,Clear,30,20,none,0,,0
13,75860,26209,26445,23206,12,2.753,3.590,Medium,4,26.2,15.4,8.6,26.2,9.3,2.50,0.0,3,Clear,30,20,none,0,,0
14,76887,26628,27368,22891,12,4.225,2.539,Medium,5,33.1,19.5,11.0,33.1,11.5,2.40,27.0,1,Clear,30,20,none,0,,0
15,75994,26476,26778,22740,12,3.881,2.453,Medium,6,40.1,23.5,13.3,40.1,13.8,2.40,10.0,3,Clear,30,20,none,0,,0
16,77010,26416,26783,23811,12,4.149,2.399,Medium,7,46.7,27.4,15.6,46.7,16.1,2.40,7.0,3,Clear,30,20,none,0,,0
17,76687,26368,27325,22994,12,3.778,2.708,Medium,8,53.0,31.2,17.7,53.0,18.2,2.40,5.0,3,Clear,30,20,none,0,,0
18,76687,26330,26794,23563,0,2.824,4.155,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
