lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,94850,32522,28211,34117,19,0.100,0.019,Medium,1,7.3,6.8,4.8,7.3,2.2,2.50,19.0,3,Clear,35,24,none,0,,0
2,84567,27955,28308,28304,14,0.578,0.790,Medium,2,15.2,11.5,8.2,15.2,4.5,2.50,11.0,3,Clear,35,24,none,0,,1
3,84660,27662,28389,28609,11,0.356,1.900,Medium,3,22.2,16.1,11.7,22.2,7.0,2.50,16.0,3,Clear,34,24,none,0,,1
4,99803,27594,34896,37313,8,0.000,0.000,Medium,4,23.9,18.4,13.6,23.9,7.8,2.60,83.0,0,Clear,34,24,SC,1,Hard,0
5,127138,48199,38864,40075,2,0.252,0.354,Hard,1,1.2,1.2,1.1,0.6,0.5,2.90,100.0,0,Clear,34,24,SC,0,,0
6,119524,34964,39368,45192,2,0.038,0.446,Hard,2,2.2,2.2,2.0,1.0,0.9,3.10,90.0,3,Clear,34,24,SC,0,,0
7,83508,27044,28027,28437,1,0.000,2.139,Hard,3,5.6,5.0,4.1,5.6,2.5,3.10,46.0,3,Clear,34,24,none,0,,0
8,83687,27054,27873,28760,1,0.000,4.182,Hard,4,10.2,7.8,6.2,10.2,4.1,3.00,69.0,0,Clear,34,24,none,0,,0
9,82965,27171,27616,28178,1,0.000,5.661,Hard,5,14.9,10.9,8.4,14.9,5.9,3.00,22.0,3,Clear,34,24,none,0,,0
10,84010,27186,28660,28164,1,0.000,6.107,Hard,6,20.1,13.9,10.6,20.1,7.7,3.00,45.0,3,Clear,34,24,none,0,,0
11,84564,27190,28256,29118,1,0.000,6.225,Hard,7,24.8,17.1,13.0,24.8,9.6,2.90,55.0,3,Clear,34,24,none,0,,0
12,83464,27326,28255,27883,1,0.000,7.065,Hard,8,29.2,20.0,15.1,29.2,11.2,2.90,39.0,0,Clear,34,24,none,0,,0
13,83464,27278,28836,27350,0,0.000,6.544,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
