lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,111895,44004,42590,25301,5,0.839,1.836,Medium,1,7.4,6.3,7.4,2.5,3.1,1.40,4.0,1,Clear,36,24,none,0,,0
2,104980,37314,41845,25821,3,2.610,2.507,Medium,2,13.1,10.8,13.1,5.2,7.8,1.40,3.0,1,Clear,36,24,none,0,,0
3,105731,37264,42496,25971,3,2.125,5.568,Medium,3,18.8,15.7,18.8,8.1,12.8,1.40,7.0,0,Clear,36,24,none,0,,0
5,263342,,,,2,0.000,0.000,Hard,1,0.0,0.0,0.0,0.0,0.0,0.50,32.0,3,Clear,35,24,SC,0,,0
6,106690,39405,41955,25330,1,0.000,0.980,Hard,2,4.1,3.6,4.1,1.5,3.0,1.40,13.0,0,Clear,35,24,none,0,,0
7,104221,36966,41764,25491,1,0.000,2.138,Hard,3,7.5,6.4,7.5,3.3,6.4,1.40,5.0,3,Clear,35,24,none,0,,0
8,105032,37181,42394,25457,1,0.000,2.955,Hard,4,10.8,9.0,10.8,4.7,9.4,1.30,42.0,3,Clear,35,24,none,0,,0
9,105136,37199,42283,25654,1,0.000,3.879,Hard,5,14.2,11.8,14.2,6.2,12.0,1.30,62.0,0,Clear,34,24,none,0,,0
10,105940,37152,42656,26132,1,0.000,4.545,Hard,6,17.7,14.5,17.7,7.8,15.0,1.20,100.0,0,Clear,34,24,none,0,,0
11,105163,37147,42608,25408,1,0.000,6.014,Hard,7,21.1,17.3,21.1,9.2,17.5,1.20,49.0,3,Clear,34,24,none,0,,0
12,105330,37441,42167,25722,1,0.000,8.156,Hard,8,24.4,20.2,24.4,10.6,19.9,1.20,48.0,3,Clear,34,24,none,0,,0
13,105330,38152,43460,23718,0,0.000,8.111,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
