lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,99441,32623,40203,26615,2,0.666,1.118,Soft,1,6.4,5.9,6.4,3.7,5.4,2.50,20.0,3,Clear,34,27,none,0,,0
2,95367,28199,40407,26761,1,0.000,1.150,Soft,2,11.9,10.6,11.9,7.3,11.3,2.50,21.0,0,Clear,34,27,none,0,,0
3,95781,29400,39761,26620,1,0.000,1.839,Soft,3,17.6,15.5,17.6,11.0,17.6,2.50,30.0,3,Clear,34,27,none,0,,0
4,96548,28853,40283,27412,1,0.000,2.292,Soft,4,24.8,20.4,23.3,15.1,24.8,2.50,50.0,0,Clear,34,27,none,0,,0
5,97317,30143,40356,26818,1,0.000,1.505,Soft,5,31.6,25.4,29.0,18.7,31.6,2.50,45.0,3,Clear,34,27,none,0,,0
6,97585,29301,40669,27615,1,0.000,0.530,Soft,6,38.1,30.5,35.0,22.8,38.1,2.50,52.0,3,Clear,34,27,none,0,,0
7,97460,29077,41252,27131,1,0.000,0.805,Soft,7,44.5,35.7,40.9,26.7,44.5,2.50,25.0,3,Clear,34,27,none,0,,0
8,98652,29260,41675,27717,1,0.000,1.344,Soft,8,50.5,40.8,46.7,30.3,50.5,2.50,24.0,3,Clear,34,27,none,0,,0
9,103680,29474,41905,32301,1,0.000,11.323,Soft,9,55.9,46.0,52.5,34.1,55.9,2.50,12.0,0,Clear,34,27,none,1,Medium,0
10,115654,49649,39573,26432,2,0.589,1.062,Medium,1,3.0,2.4,2.7,2.0,3.0,2.50,8.0,3,Clear,34,27,none,0,,1
11,94504,28210,39514,26780,1,0.000,1.698,Medium,2,6.7,4.9,5.5,3.8,6.7,2.50,22.0,3,Clear,34,27,none,0,,0
12,95111,28785,39792,26534,1,0.000,3.084,Medium,3,10.3,7.3,8.3,5.8,10.3,2.50,30.0,3,Clear,34,27,none,0,,0
13,95293,28773,39701,26819,1,0.000,4.966,Medium,4,13.6,9.7,11.2,7.8,13.6,2.50,47.0,0,Clear,34,27,none,0,,0
14,95919,28850,40078,26991,1,0.000,5.868,Medium,5,17.2,12.2,14.0,9.7,17.2,2.50,75.0,3,Clear,34,27,none,0,,0
15,95540,28714,40162,26664,1,0.000,6.747,Medium,6,20.4,14.7,16.9,11.9,20.4,2.50,72.0,3,Clear,34,27,none,0,,0
16,95540,28414,40339,26787,0,0.000,7.241,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
