lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101152,28669,39578,32905,4,0.686,0.877,Soft,1,6.6,6.6,6.4,5.8,6.4,2.50,41.0,3,Clear,40,26,none,0,,0
2,97687,26272,38611,32804,2,0.649,0.833,Soft,2,13.2,12.4,12.2,11.7,13.2,2.50,15.0,3,Clear,39,26,none,0,,1
3,97948,26609,38421,32918,1,0.000,0.744,Soft,3,19.5,17.9,17.7,17.8,19.5,2.50,23.0,3,Clear,39,26,none,0,,0
4,99616,27195,39384,33037,1,0.000,1.299,Soft,4,26.4,23.6,23.6,23.9,26.4,2.40,31.0,3,Clear,39,26,none,0,,0
5,99434,26942,39283,33209,1,0.000,1.640,Soft,5,33.4,29.3,29.6,29.9,33.4,2.40,27.0,3,Clear,39,26,none,0,,0
6,100624,27104,39999,33521,1,0.000,0.847,Soft,6,40.4,35.1,35.5,35.9,40.4,2.40,50.0,3,Clear,39,26,none,0,,0
7,100490,27026,39832,33632,1,0.000,0.737,Soft,7,47.4,40.8,41.4,41.3,47.4,2.40,55.0,3,Clear,39,26,none,0,,0
8,100151,26953,39664,33534,1,0.000,0.000,Soft,8,53.5,46.7,47.2,47.1,53.5,2.40,29.0,3,Clear,39,26,none,0,,0
9,101060,27391,39915,33754,1,0.000,20.996,Soft,9,59.9,52.4,52.9,52.9,59.9,2.40,30.0,0,Clear,39,26,none,1,Medium,0
10,116219,45107,38743,32369,1,0.000,3.793,Medium,1,3.8,3.1,3.2,3.1,3.8,2.40,30.0,3,Clear,39,26,none,0,,0
11,97787,26483,38828,32476,1,0.000,5.750,Medium,2,8.1,6.3,6.4,6.5,8.1,2.40,57.0,3,Clear,39,26,none,0,,0
12,98059,26623,39068,32368,1,0.000,7.197,Medium,3,12.1,9.3,9.7,9.6,12.1,2.30,100.0,0,Clear,38,26,none,0,,0
13,98104,26370,39147,32587,1,0.000,8.838,Medium,4,17.0,13.0,13.5,13.6,17.0,2.30,61.0,2,Clear,38,26,none,0,,0
14,99144,26275,39284,33585,1,0.000,10.064,Medium,5,21.9,17.4,17.8,18.5,21.9,2.30,31.0,2,Clear,38,26,none,0,,0
