lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,90656,36321,18067,36268,5,0.342,0.466,Medium,1,4.5,4.5,3.8,3.9,2.6,2.40,20.0,3,Clear,33,22,none,0,,0
2,82004,28532,18690,34782,4,0.479,0.455,Medium,2,9.0,8.0,6.7,9.0,5.9,2.40,11.0,3,Clear,33,22,none,0,,1
3,82386,28562,18235,35589,4,0.349,0.451,Medium,3,14.5,11.6,9.4,14.5,8.6,2.40,8.0,3,Clear,33,22,none,0,,1
4,83415,28845,18575,35995,3,0.159,0.446,Medium,4,18.6,15.0,12.2,18.6,11.0,2.40,8.0,3,Clear,33,22,none,0,,1
5,83405,28825,18608,35972,1,0.000,0.084,Medium,5,23.3,18.6,14.9,23.3,12.9,2.40,25.0,3,Clear,33,22,none,0,,0
6,84498,29638,18895,35965,2,0.021,0.407,Medium,6,26.9,21.7,17.4,26.9,15.2,2.40,51.0,3,Clear,33,22,none,0,,0
7,85129,30623,19012,35494,1,0.000,0.933,Medium,7,30.6,24.9,20.1,30.6,17.0,2.30,57.0,3,Clear,33,22,none,0,,0
8,83908,28770,18711,36427,1,0.000,1.911,Medium,8,34.7,28.1,22.5,34.7,18.9,2.30,91.0,3,Clear,32,22,none,0,,0
9,96850,28776,18312,49762,1,0.000,0.000,Hard,1,0.0,0.0,0.0,0.0,0.0,2.30,91.0,0,Clear,32,22,none,1,unknown,0
10,86901,33327,18470,35104,1,0.000,2.927,Hard,2,3.2,2.5,2.0,3.2,1.7,2.30,51.0,3,Clear,32,22,none,0,,0
11,81819,28610,18472,34737,1,0.000,2.857,Hard,3,6.9,5.0,3.9,6.9,3.1,2.30,60.0,3,Clear,32,22,none,0,,0
12,81318,27893,18254,35171,1,0.000,3.608,Hard,4,10.9,7.7,6.0,10.9,5.3,2.20,12.0,3,Clear,32,22,none,0,,0
13,82040,28634,18488,34918,1,0.000,4.998,Hard,5,14.3,10.2,7.8,14.3,6.7,2.20,49.0,0,Clear,32,22,none,0,,0
14,82033,28582,18687,34764,1,0.000,6.281,Hard,6,17.9,12.8,9.8,17.9,8.7,2.20,51.0,3,Clear,32,22,none,0,,0
15,81805,28030,18622,35153,0,0.000,7.474,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
