lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,84195,30125,24134,29936,7,0.843,1.040,Hard,1,3.5,3.5,3.3,1.8,1.4,2.60,10.0,3,Clear,36,24,none,0,,0
2,75093,21515,23763,29815,5,0.996,0.623,Hard,2,6.1,6.1,5.6,3.8,3.0,2.60,4.0,0,Clear,36,24,none,0,,1
3,75501,21533,23761,30207,3,1.235,0.429,Hard,3,8.5,8.5,7.9,5.7,4.6,2.60,3.0,0,Clear,36,24,none,0,,1
4,75362,21102,23906,30354,3,0.119,1.457,Hard,4,11.1,11.1,10.2,8.3,6.4,2.70,9.0,3,Clear,36,24,none,0,,1
5,76591,22921,23937,29733,2,2.999,0.905,Hard,5,14.0,14.0,12.4,11.1,8.0,2.70,5.0,0,Clear,36,24,none,0,,0
6,75095,21604,23942,29549,2,2.322,1.954,Hard,6,16.5,16.5,14.5,13.5,9.5,2.70,1.0,0,Clear,36,24,none,0,,0
7,75511,21610,23926,29975,2,2.019,2.286,Hard,7,19.1,19.1,16.9,15.9,11.3,2.70,3.0,0,Clear,36,24,none,0,,0
8,75449,21405,24076,29968,2,1.402,3.541,Hard,8,21.6,21.6,19.2,18.3,13.0,2.70,4.0,0,Clear,36,24,none,0,,0
10,187437,21908,23725,141804,2,0.000,0.000,Soft,1,0.0,0.0,0.0,0.0,0.0,2.80,10.0,0,Clear,36,24,SC,0,,0
11,78240,25406,23503,29331,1,0.000,0.458,Soft,2,5.9,5.9,5.4,5.1,3.1,2.80,16.0,3,Clear,36,24,none,0,,0
12,73878,21047,23582,29249,1,0.000,1.420,Soft,3,10.2,10.2,9.5,9.1,6.9,2.80,26.0,2,Clear,36,24,none,0,,0
13,74075,20921,23783,29371,1,0.000,2.174,Soft,4,15.0,15.0,13.7,14.1,10.3,2.80,4.0,2,Clear,36,24,none,0,,0
14,75996,21290,24392,30314,1,0.000,1.444,Soft,5,20.3,20.3,18.4,19.0,13.9,2.80,4.0,2,Clear,36,24,none,0,,0
15,85399,21223,28276,35900,1,0.000,1.378,Soft,6,24.7,24.7,22.3,22.6,16.5,2.90,7.0,2,Clear,36,24,SC,0,,0
16,103505,23914,33300,46291,1,0.000,1.341,Soft,7,27.7,27.7,25.0,24.7,18.6,3.20,3.0,2,Clear,36,24,SC,0,,0
17,75465,21383,23873,30209,1,0.000,1.615,Soft,8,32.5,32.5,29.2,28.8,21.5,3.20,12.0,0,Clear,36,24,none,0,,0
18,75465,,,,0,64.091,0.788,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
