lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,103260,30318,30638,42304,2,2.305,0.754,Medium,1,5.1,4.5,4.4,5.1,4.1,2.50,15.0,0,Clear,34,22,none,0,,0
2,98621,25959,29912,42750,2,1.403,2.928,Medium,2,11.2,8.2,7.6,11.2,7.4,2.50,4.0,0,Clear,34,22,none,0,,0
3,98757,26192,29899,42666,2,0.406,4.409,Medium,3,17.8,11.6,10.7,17.8,10.5,2.50,2.0,3,Clear,34,22,none,0,,1
4,99410,26200,30330,42880,2,0.351,5.592,Medium,4,24.1,15.1,14.0,24.1,14.1,2.50,1.0,3,Clear,34,22,none,0,,1
5,99213,26310,29970,42933,1,0.000,1.985,Medium,5,30.2,18.5,17.1,30.2,17.6,2.50,11.0,3,Clear,34,22,none,0,,0
6,99182,26153,30034,42995,1,0.000,4.039,Medium,6,36.0,21.8,20.1,36.0,20.9,2.40,26.0,0,Clear,34,22,none,0,,0
7,100117,26477,30468,43172,1,0.000,4.930,Medium,7,41.7,25.3,23.3,41.7,24.5,2.40,16.0,0,Clear,34,22,none,0,,0
8,99743,26456,30404,42883,1,0.000,5.615,Medium,8,46.4,28.7,26.3,46.4,27.4,2.40,12.0,0,Clear,34,22,none,0,,0
9,104894,26656,30232,48006,1,0.000,14.843,Medium,9,51.4,32.0,29.3,51.4,30.2,2.50,34.0,0,Clear,34,22,none,1,Hard,0
10,117897,45293,30099,42505,1,0.000,6.432,Hard,1,3.1,2.2,2.0,3.1,1.9,2.50,22.0,3,Clear,34,22,none,0,,0
11,98047,25628,29962,42457,1,0.000,6.990,Hard,2,7.1,4.7,4.1,7.1,4.1,2.50,24.0,0,Clear,34,22,none,0,,0
12,98181,25849,29948,42384,1,0.000,8.491,Hard,3,11.2,7.1,6.2,11.2,6.2,2.50,24.0,3,Clear,34,22,none,0,,0
13,98279,26114,29755,42410,1,0.000,10.121,Hard,4,15.3,9.5,8.4,15.3,8.5,2.40,26.0,3,Clear,34,22,none,0,,0
14,98642,26004,30026,42612,0,0.000,11.122,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
