lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101815,40932,42524,18359,10,0.704,0.464,Soft,1,5.3,4.9,5.0,4.9,5.3,2.40,19.0,3,Clear,25,17,none,0,,0
2,93215,34616,40618,17981,6,1.263,1.195,Soft,2,13.0,9.4,9.1,13.0,12.5,2.40,10.0,3,Clear,25,17,none,0,,0
3,93881,34577,41135,18169,5,1.546,0.687,Soft,3,20.4,13.6,13.0,20.4,18.1,2.40,14.0,3,Clear,25,17,none,0,,0
4,93274,34508,40702,18064,5,0.520,2.550,Soft,4,28.0,18.0,17.4,28.0,25.1,2.40,2.0,3,Clear,25,17,none,0,,1
5,94083,34925,40940,18218,4,0.428,1.707,Soft,5,35.0,22.2,21.5,35.0,31.3,2.40,4.0,3,Clear,25,17,none,0,,1
6,95069,35835,41204,18030,3,6.195,0.000,Soft,6,42.8,26.2,25.5,42.8,37.9,2.40,5.0,3,Clear,25,17,none,0,,0
7,95637,34983,42191,18463,3,6.569,0.000,Soft,7,48.8,30.2,29.4,48.8,44.2,2.30,38.0,3,Clear,25,17,none,0,,0
8,94486,35196,40948,18342,1,0.000,3.617,Soft,8,55.9,34.5,33.5,55.9,51.3,2.30,16.0,3,Clear,25,17,none,0,,0
9,96817,35306,41244,20267,1,0.000,10.774,Soft,9,63.4,38.6,37.5,63.4,58.3,2.30,32.0,0,Clear,25,17,none,1,Medium,0
10,113654,54698,40919,18037,3,5.160,0.559,Medium,1,3.7,2.5,2.5,2.9,3.7,2.30,24.0,3,Clear,25,17,none,0,,0
11,92341,34103,40197,18041,3,3.524,2.375,Medium,2,8.5,5.3,5.3,7.4,8.5,2.30,14.0,3,Clear,25,17,none,0,,0
12,92260,34308,39835,18117,3,1.809,4.428,Medium,3,13.9,8.4,8.1,13.5,13.9,2.30,10.0,3,Clear,25,17,none,0,,0
13,92604,34065,40368,18171,0,0.779,5.774,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
