lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,97707,34284,40082,23341,2,2.338,0.136,Soft,1,7.3,6.9,6.3,7.3,4.6,2.50,6.0,3,Clear,31,24,none,0,,0
2,93467,30003,40278,23186,2,1.560,1.229,Soft,2,15.1,12.2,10.7,15.1,9.3,2.50,2.0,0,Clear,31,24,none,0,,0
3,94273,30313,40782,23178,2,0.931,1.916,Soft,3,22.2,17.3,15.1,22.2,14.0,2.50,4.0,0,Clear,31,24,none,0,,0
4,94634,30516,40673,23445,2,0.359,2.155,Soft,4,28.7,22.6,19.5,28.7,17.7,2.50,10.0,3,Clear,31,24,none,0,,1
5,94286,30186,40947,23153,1,0.000,1.299,Soft,5,35.1,27.5,23.8,35.1,22.0,2.40,7.0,3,Clear,31,24,none,0,,0
6,94997,30347,41206,23444,1,0.000,2.033,Soft,6,41.5,32.6,28.2,41.5,25.8,2.40,8.0,3,Clear,31,24,none,0,,0
7,95824,30723,40967,24134,1,0.000,2.584,Soft,7,48.6,38.2,32.8,48.6,30.2,2.40,12.0,0,Clear,30,24,none,0,,0
8,96355,31307,41195,23853,1,0.000,1.916,Soft,8,54.3,42.9,36.8,54.3,33.5,2.40,59.0,3,Clear,30,24,none,0,,0
9,96758,30347,41592,24819,1,0.000,24.879,Soft,9,60.5,48.2,41.2,60.5,37.2,2.40,28.0,0,Clear,30,24,none,1,Medium,0
10,113205,50052,40342,22811,1,0.000,5.873,Medium,1,4.5,3.5,3.0,4.5,3.0,2.40,15.0,3,Clear,30,24,none,0,,0
11,93088,29974,40019,23095,1,0.000,8.363,Medium,2,9.0,7.0,6.1,9.0,5.9,2.40,2.0,3,Clear,30,24,none,0,,0
12,94881,30507,40801,23573,1,0.000,8.237,Medium,3,13.7,10.3,8.8,13.7,8.7,2.30,80.0,3,Clear,30,24,none,0,,0
13,92616,29606,40148,22862,1,0.000,10.096,Medium,4,18.5,14.1,12.1,18.5,11.5,2.30,9.0,3,Clear,30,24,none,0,,0
14,94171,30038,40412,23721,1,0.000,10.348,Medium,5,23.1,17.7,15.1,23.1,14.4,2.30,34.0,3,Clear,30,24,none,0,,0
