lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,99871,39662,30276,29933,7,0.480,0.199,Soft,1,8.7,6.8,7.8,6.4,8.7,2.40,22.0,3,Clear,25,21,none,0,,0
2,95254,35486,30538,29230,5,2.606,1.732,Soft,2,19.9,12.4,14.6,13.9,19.9,2.40,4.0,0,Clear,25,21,none,0,,0
3,95042,35109,30535,29398,5,1.826,3.185,Soft,3,28.6,17.4,20.6,20.3,28.6,2.30,10.0,0,Clear,25,21,none,0,,0
4,95337,35582,30899,28856,5,1.352,4.661,Soft,4,36.8,22.5,26.7,25.5,36.8,2.30,10.0,3,Clear,25,21,none,0,,0
5,95427,35570,30679,29178,4,0.510,0.000,Soft,5,45.4,28.0,33.2,31.6,45.4,2.30,2.0,0,Clear,25,21,none,0,,1
6,95773,35706,30605,29462,2,1.210,0.836,Soft,6,53.9,33.2,39.3,38.2,53.9,2.20,1.0,0,Clear,25,21,none,0,,0
7,96674,35789,30539,30346,1,0.000,0.000,Soft,7,63.8,38.7,45.7,43.9,63.8,2.20,4.0,3,Clear,25,21,none,0,,0
8,98742,36149,30825,31768,1,0.000,8.928,Soft,8,72.0,44.0,51.9,48.9,72.0,2.20,8.0,0,Clear,25,21,none,1,Medium,0
9,108733,50023,29524,29186,4,0.038,1.507,Medium,1,4.2,2.9,3.6,2.8,4.2,2.20,3.0,3,Clear,24,21,none,0,,1
10,94803,35266,29766,29771,1,0.000,0.560,Medium,2,8.6,6.0,7.2,7.2,8.6,2.20,0.0,3,Clear,24,21,none,0,,0
11,93825,34694,30046,29085,1,0.000,2.491,Medium,3,13.5,8.9,10.6,10.9,13.5,2.10,24.0,0,Clear,24,21,none,0,,0
12,93994,34688,30085,29221,1,0.000,3.883,Medium,4,18.7,11.8,14.2,14.3,18.7,2.10,68.0,0,Clear,24,21,none,0,,0
13,93966,34930,30227,28809,0,0.000,5.242,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
