lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,96906,36912,33790,26204,4,0.141,0.369,Medium,1,5.5,4.4,5.0,3.1,5.5,2.50,0.0,3,Clear,44,30,none,0,,0
2,92226,32021,33957,26248,3,0.641,0.907,Medium,2,11.5,8.1,9.4,7.2,11.5,2.50,1.0,1,Clear,44,30,none,0,,1
3,92819,32256,34283,26280,3,0.573,0.679,Medium,3,18.6,12.2,13.8,12.6,18.6,2.50,2.0,1,Clear,44,30,none,0,,1
4,93992,32748,34855,26389,3,1.456,0.530,Medium,4,24.1,16.2,18.1,17.6,24.1,2.50,2.0,1,Clear,43,30,none,0,,0
5,93286,32479,34230,26577,3,1.388,0.788,Medium,5,29.6,19.8,22.1,21.2,29.6,2.50,5.0,0,Clear,43,30,none,0,,0
6,93516,32281,34791,26444,3,1.073,0.325,Medium,6,35.4,23.6,26.3,24.9,35.4,2.50,7.0,3,Clear,43,30,none,0,,1
7,98339,32310,34799,31230,4,0.000,0.000,Medium,7,40.8,27.0,30.4,27.9,40.8,2.50,3.0,0,Clear,43,30,none,1,Hard,0
8,105162,45513,33616,26033,7,2.322,0.000,Hard,1,4.5,2.6,3.1,2.5,4.5,2.50,8.0,0,Clear,43,30,none,0,,1
9,92214,31912,34074,26228,1,0.000,0.708,Hard,2,8.3,5.2,6.1,5.2,8.3,2.50,4.0,3,Clear,43,30,none,0,,0
10,93839,31929,34727,27183,1,0.000,0.174,Hard,3,12.8,8.0,9.2,8.3,12.8,2.50,48.0,3,Clear,43,30,none,0,,1
11,92186,31497,34376,26313,1,0.000,1.933,Hard,4,17.4,11.1,13.0,11.2,17.4,2.50,2.0,0,Clear,43,30,none,0,,0
12,93241,32691,34657,25893,1,0.000,2.301,Hard,5,21.7,13.9,16.1,14.4,21.7,2.50,6.0,3,Clear,43,30,none,0,,0
13,93225,32466,34386,26373,1,0.000,2.921,Hard,6,26.9,16.8,19.4,17.5,26.9,2.50,22.0,0,Clear,43,30,none,0,,0
14,96063,32253,35967,27843,0,0.013,0.742,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
