lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,87316,31746,27828,27742,9,1.314,1.601,Medium,1,4.4,4.0,4.4,2.6,3.9,2.50,7.0,3,Clear,36,23,none,0,,0
2,80955,26150,27714,27091,8,0.301,0.554,Medium,2,9.1,7.1,7.9,5.9,9.1,2.50,5.0,3,Clear,36,23,none,0,,1
3,81009,25977,28409,26623,7,0.668,0.767,Medium,3,13.7,10.2,11.5,8.8,13.7,2.50,3.0,3,Clear,36,23,none,0,,1
4,81506,26495,28016,26995,6,1.086,0.231,Medium,4,18.6,13.2,15.1,11.3,18.6,2.50,8.0,3,Clear,36,23,none,0,,1
5,81384,25816,27647,27921,5,1.552,0.939,Medium,5,23.0,16.2,18.6,14.2,23.0,2.50,4.0,0,Clear,36,23,none,0,,0
6,80998,26249,27546,27203,5,0.488,1.395,Medium,6,27.0,19.1,21.9,16.8,27.0,2.40,2.0,3,Clear,36,23,none,0,,1
7,85492,26366,27823,31303,8,0.000,0.000,Medium,7,31.0,22.1,25.3,19.7,31.0,2.40,21.0,0,Clear,36,23,none,1,Hard,0
8,102081,48776,26944,26361,13,20.469,4.408,Hard,1,3.1,1.9,2.2,2.0,3.1,2.50,3.0,3,Clear,36,23,none,0,,0
9,80208,26239,27667,26302,3,4.614,2.235,Hard,2,6.2,4.1,4.7,4.2,6.2,2.40,2.0,3,Clear,36,23,none,0,,0
10,80634,26644,27557,26433,3,4.240,2.173,Hard,3,9.6,6.1,7.1,6.4,9.6,2.40,14.0,3,Clear,36,23,none,0,,0
11,79853,26072,27345,26436,3,3.131,3.550,Hard,4,12.3,8.1,9.3,8.7,12.3,2.40,17.0,3,Clear,36,23,none,0,,0
12,80417,25648,28193,26576,3,2.610,3.954,Hard,5,15.5,10.2,11.8,10.9,15.5,2.30,13.0,3,Clear,36,23,none,0,,0
13,80488,26135,27525,26828,3,2.263,3.946,Hard,6,18.8,12.3,14.3,13.0,18.8,2.30,4.0,3,Clear,36,23,none,0,,0
14,80857,25958,27588,27311,3,2.159,4.283,Hard,7,22.1,14.5,16.8,15.2,22.1,2.30,3.0,3,Clear,36,23,none,0,,0
15,80395,26042,27409,26944,3,1.296,5.174,Hard,8,25.3,16.6,19.1,17.1,25.3,2.30,2.0,3,Clear,36,23,none,0,,0
16,79937,26118,27216,26603,0,0.381,5.858,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
