lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,87118,28838,38157,20123,9,1.145,1.137,Medium,1,4.7,4.5,4.7,2.4,3.1,2.70,43.0,3,Clear,34,23,none,0,,0
2,76911,20081,37002,19828,8,0.611,0.851,Medium,2,8.1,8.1,8.1,5.2,7.2,2.70,5.0,3,Clear,34,23,none,0,,1
3,76683,20272,36144,20267,6,0.688,0.682,Medium,3,12.0,12.0,11.8,8.3,11.7,2.70,3.0,3,Clear,34,23,none,0,,1
4,76959,20305,36498,20156,5,0.442,1.048,Medium,4,15.7,15.7,15.3,11.4,15.7,2.70,4.0,3,Clear,34,23,none,0,,1
5,77249,20340,36613,20296,4,3.249,1.401,Medium,5,19.3,19.3,18.7,14.2,19.2,2.70,3.0,0,Clear,34,23,none,0,,0
6,93116,20449,36627,36040,12,0.000,1.806,Hard,1,0.0,0.0,0.0,0.0,0.0,2.80,43.0,0,Clear,34,23,none,1,Medium,0
7,81031,23192,37349,20490,3,2.219,0.000,Hard,2,2.6,2.3,2.3,1.6,2.6,2.80,20.0,3,Clear,34,23,none,0,,1
8,75542,19636,35925,19981,1,0.000,0.000,Hard,3,5.3,4.7,4.5,3.7,5.3,2.80,3.0,0,Clear,34,23,none,0,,0
9,76301,20004,36287,20010,1,0.000,2.653,Hard,4,7.8,7.1,6.8,5.9,7.8,2.80,14.0,3,Clear,34,23,none,0,,0
10,76937,20151,36259,20527,1,0.000,2.749,Hard,5,10.5,9.7,9.0,7.9,10.5,2.70,36.0,3,Clear,34,23,none,0,,0
11,75897,19840,35963,20094,1,0.000,3.488,Hard,6,13.0,12.3,11.5,10.0,13.0,2.70,4.0,3,Clear,34,23,none,0,,0
12,76177,20272,35976,19929,1,0.000,4.421,Hard,7,16.0,14.7,13.8,12.1,16.0,2.70,6.0,3,Clear,34,23,none,0,,0
13,92325,20375,35758,36192,4,0.000,3.617,Medium,1,0.0,0.0,0.0,0.0,0.0,2.90,33.0,0,Clear,34,23,none,0,,0
14,78275,23063,35535,19677,1,0.000,0.000,Medium,2,3.6,3.0,3.0,2.6,3.6,2.80,52.0,3,Clear,34,23,none,0,,1
15,74727,19777,35098,19852,1,0.000,10.332,Medium,3,7.4,6.3,6.0,5.5,7.4,2.80,46.0,0,Clear,34,23,none,0,,0
16,75444,20149,35149,20146,1,0.000,11.664,Medium,4,11.5,9.5,9.1,8.2,11.5,2.80,37.0,3,Clear,34,23,none,0,,0
17,75005,19677,35685,19643,1,0.000,12.562,Medium,5,14.7,13.0,12.6,10.9,14.7,2.80,11.0,3,Clear,34,23,none,0,,0
18,75608,20386,35539,19683,1,0.000,13.804,Medium,6,18.7,16.4,15.8,13.9,18.7,2.70,15.0,0,Clear,34,23,none,0,,0
19,82010,21091,40546,20373,1,0.000,9.092,Medium,7,20.6,19.0,18.3,15.7,20.6,2.80,33.0,0,Clear,34,23,none,0,,0
20,98367,23836,47578,26953,0,0.907,3.316,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
