lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,84483,29075,32201,23207,8,0.344,0.568,Soft,1,6.5,5.1,3.5,6.5,1.8,2.50,48.0,3,Clear,37,25,none,0,,0
2,77488,23095,31182,23211,6,0.733,0.823,Soft,2,12.5,9.2,6.1,12.5,4.0,2.50,34.0,3,Clear,37,25,none,0,,1
3,78118,22919,31740,23459,6,0.810,0.410,Soft,3,19.7,13.4,8.8,19.7,6.3,2.50,15.0,3,Clear,37,25,none,0,,1
4,78321,23576,31601,23144,5,2.247,0.808,Soft,4,24.4,17.0,11.1,24.4,8.7,2.50,39.0,3,Clear,37,25,none,0,,0
5,79301,23639,32225,23437,5,3.661,0.525,Soft,5,30.9,20.5,13.5,30.9,10.8,2.50,69.0,3,Clear,37,25,none,0,,0
6,79097,23312,32230,23555,5,4.170,0.347,Soft,6,35.9,24.1,15.9,35.9,13.3,2.50,72.0,3,Clear,37,25,none,0,,0
7,78399,23127,31678,23594,5,3.883,0.460,Soft,7,42.0,28.1,18.4,42.0,15.5,2.50,45.0,3,Clear,37,25,none,0,,0
8,82179,23193,31733,27253,10,0.000,3.307,Soft,8,47.8,31.7,20.8,47.8,17.8,2.50,63.0,0,Clear,37,25,none,1,Medium,0
9,95223,41077,30979,23167,19,6.237,0.000,Medium,1,4.0,2.5,1.6,4.0,1.4,2.50,57.0,3,Clear,37,25,none,0,,0
10,77923,23243,31614,23066,12,3.553,2.311,Medium,2,8.1,5.2,3.4,8.1,2.8,2.60,13.0,3,Clear,37,25,none,0,,0
11,77804,23023,31573,23208,2,5.157,0.561,Medium,3,13.0,8.2,5.2,13.0,4.5,2.60,13.0,3,Clear,37,25,none,0,,0
12,78441,23709,31389,23343,2,6.291,0.362,Medium,4,17.2,10.8,6.9,17.2,6.1,2.60,18.0,3,Clear,37,25,none,0,,0
13,78625,23946,31306,23373,2,7.568,0.784,Medium,5,21.1,13.4,8.6,21.1,7.7,2.60,22.0,3,Clear,37,25,none,0,,0
14,78612,23036,31942,23634,2,9.046,0.306,Medium,6,26.4,16.1,10.3,26.4,9.3,2.60,64.0,3,Clear,37,25,none,0,,0
15,79880,23150,33432,23298,4,0.632,3.055,Medium,7,30.7,18.9,12.2,30.7,11.1,2.60,13.0,3,Clear,37,25,none,0,,1
16,78526,23132,31424,23970,4,0.376,2.312,Medium,8,35.6,21.5,13.9,35.6,12.9,2.60,15.0,3,Clear,37,25,none,0,,1
17,78526,22873,31650,24003,0,1.885,0.268,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
