lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,75235,21791,32425,21019,5,0.335,1.298,Medium,1,4.8,4.5,4.6,4.4,4.8,2.60,54.0,3,Clear,33,22,none,0,,0
2,69221,17030,31138,21053,3,0.220,0.868,Medium,2,9.4,8.0,8.0,8.2,9.4,2.60,27.0,1,Clear,33,22,none,0,,1
3,68455,16637,30645,21173,2,0.366,3.470,Medium,3,13.5,11.5,11.3,13.1,13.5,2.60,10.0,1,Clear,33,22,none,0,,1
4,69298,16802,31198,21298,1,0.000,1.598,Medium,4,18.4,14.9,14.7,17.5,18.4,2.60,15.0,1,Clear,33,22,none,0,,0
5,69844,17172,30832,21840,1,0.000,2.443,Medium,5,23.3,18.4,18.0,22.6,23.3,2.60,30.0,0,Clear,33,22,none,0,,0
6,70973,17770,31441,21762,1,0.000,1.774,Medium,6,27.1,21.6,20.9,27.1,26.7,2.60,79.0,3,Clear,33,22,none,0,,0
7,69808,17146,31151,21511,1,0.000,2.852,Medium,7,31.9,24.8,24.1,31.9,30.9,2.60,71.0,3,Clear,33,22,none,0,,0
8,70203,17227,31380,21596,1,0.000,3.464,Medium,8,36.7,28.0,27.0,36.7,34.4,2.60,74.0,3,Clear,33,22,none,0,,0
9,73136,17156,31218,24762,1,0.000,0.000,Medium,9,40.0,30.9,29.9,40.0,39.5,2.60,77.0,0,Clear,33,22,none,1,Hard,0
10,85528,33220,31030,21278,1,0.000,0.000,Hard,1,3.1,2.1,2.2,2.8,3.1,2.70,82.0,0,Clear,33,22,none,0,,1
11,68056,16494,30746,20816,1,0.000,7.564,Hard,2,6.4,4.5,4.5,6.2,6.4,2.70,44.0,3,Clear,33,22,none,0,,0
12,68655,16878,30602,21175,1,0.000,8.932,Hard,3,10.4,6.9,6.8,9.9,10.4,2.70,31.0,3,Clear,33,22,none,0,,0
13,77426,17265,33410,26751,1,0.000,2.408,Hard,4,11.9,8.6,8.0,11.9,11.1,2.90,96.0,0,Clear,33,22,none,0,,0
14,73219,18689,32868,21662,2,1.074,6.525,Hard,5,14.9,10.4,9.8,14.9,14.0,3.00,100.0,0,Clear,33,22,none,0,,0
15,71978,17502,31797,22679,1,0.000,5.815,Hard,6,17.0,12.5,12.0,17.0,16.9,3.00,100.0,2,Clear,33,22,none,0,,0
16,75545,19470,34988,21087,2,0.345,3.222,Hard,7,19.8,14.4,13.7,19.8,19.5,3.20,92.0,2,Clear,33,22,none,0,,1
17,69350,16880,31343,21127,1,0.000,1.331,Hard,8,23.2,16.9,16.0,23.2,22.3,3.30,85.0,2,Clear,33,22,none,0,,0
18,70443,17035,31963,21445,0,0.000,0.698,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
