lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,89254,34724,33792,20738,10,0.167,0.750,Medium,1,4.7,4.7,4.4,3.0,2.0,2.60,80.0,3,Clear,36,25,none,0,,0
2,82673,30414,30876,21383,6,0.434,0.453,Medium,2,9.3,9.3,8.6,7.3,5.9,2.60,13.0,3,Clear,36,25,none,0,,0
3,81156,30113,30568,20475,5,0.417,1.813,Medium,3,13.7,13.7,12.9,10.9,9.2,2.60,6.0,3,Clear,36,25,none,0,,0
4,81745,29952,30897,20896,4,0.667,0.550,Medium,4,18.6,18.6,17.2,14.8,12.0,2.60,8.0,3,Clear,36,25,none,0,,0
5,82514,30485,31396,20633,3,1.452,0.610,Medium,5,23.3,23.3,21.6,17.9,14.5,2.60,12.0,3,Clear,36,25,none,0,,0
6,82988,30897,31108,20983,4,0.418,0.847,Medium,6,28.2,28.2,25.8,20.8,16.8,2.60,11.0,3,Clear,36,25,none,0,,0
7,81369,30051,30431,20887,3,1.195,1.081,Medium,7,33.4,33.4,30.6,24.8,20.2,2.50,7.0,3,Clear,36,25,none,0,,0
8,82784,30893,30811,21080,3,1.206,1.195,Medium,8,38.2,38.2,35.0,28.0,22.7,2.50,11.0,3,Clear,36,24,none,0,,0
9,82582,30584,30760,21238,2,3.748,0.000,Medium,9,43.1,43.1,39.1,31.4,25.1,2.50,13.0,3,Clear,36,24,none,0,,0
10,82469,30369,30887,21213,2,2.915,3.032,Medium,10,48.2,48.2,43.6,35.1,28.0,2.50,10.0,3,Clear,35,24,none,0,,0
11,84748,30929,30612,23207,1,0.000,3.301,Medium,11,53.7,53.7,48.1,39.2,30.6,2.50,24.0,0,Clear,35,24,none,1,Soft,0
12,110143,126,29664,80353,9,0.537,1.481,Soft,1,5.4,5.4,4.8,4.9,3.9,2.60,69.0,1,Clear,35,24,none,0,,0
13,82735,30328,30793,21614,9,0.655,0.354,Soft,2,10.0,10.0,9.1,9.0,6.9,2.60,100.0,0,Clear,35,24,none,0,,0
14,83390,30726,31042,21622,10,0.774,0.342,Soft,3,15.2,15.2,13.9,13.6,10.9,2.60,100.0,0,Clear,35,24,none,0,,0
15,82617,29836,31575,21206,10,0.206,0.403,Soft,4,21.1,21.1,19.3,18.6,14.6,2.60,100.0,0,Clear,35,24,none,0,,0
16,82638,30671,30912,21055,9,2.963,0.958,Soft,5,27.8,27.8,25.4,23.4,19.0,2.50,92.0,3,Clear,35,24,none,0,,0
17,82312,30594,30561,21157,9,2.418,0.887,Soft,6,34.8,34.8,31.7,28.5,23.2,2.40,100.0,0,Clear,35,24,none,0,,0
18,82312,31787,30762,19763,0,0.631,1.724,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
