lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,97517,34432,37763,25322,7,1.042,0.639,Soft,1,8.6,5.8,4.6,8.6,4.2,2.40,31.0,3,Clear,34,23,none,0,,0
2,91737,28370,38186,25181,7,0.397,2.011,Soft,2,17.9,11.2,8.4,17.9,9.0,2.40,5.0,0,Clear,34,23,none,0,,0
3,93296,29005,38854,25437,7,0.278,1.751,Soft,3,26.5,16.1,12.0,26.5,13.2,2.30,24.0,3,Clear,34,23,none,0,,0
4,93176,28793,38647,25736,5,1.427,0.296,Soft,4,34.6,21.0,15.6,34.6,17.1,2.30,49.0,3,Clear,34,23,none,0,,0
5,91833,28669,37966,25198,5,0.442,1.243,Soft,5,42.6,26.2,19.3,42.6,21.0,2.30,21.0,3,Clear,34,23,none,0,,0
6,93608,29045,38756,25807,4,1.799,0.000,Soft,6,51.6,31.0,22.9,51.6,25.1,2.20,35.0,3,Clear,34,23,none,0,,0
7,93081,29052,38426,25603,2,1.353,0.000,Soft,7,59.6,35.9,26.5,59.6,29.3,2.20,48.0,0,Clear,34,23,none,0,,0
8,94284,29662,38886,25736,1,0.000,20.791,Soft,8,67.4,40.5,29.9,67.4,33.2,2.20,77.0,3,Clear,34,23,none,0,,0
9,94690,29247,39223,26220,1,0.000,18.213,Soft,9,74.7,44.5,32.9,74.7,37.2,2.20,100.0,0,Clear,34,23,none,1,Medium,0
10,115489,53468,37136,24885,7,2.245,4.638,Medium,1,5.3,3.5,2.5,5.3,3.5,2.20,52.0,3,Clear,34,23,none,0,,0
11,90761,28185,37507,25069,6,0.381,0.410,Medium,2,12.3,7.6,5.4,12.3,7.0,2.20,12.0,3,Clear,34,23,none,0,,0
12,92366,28906,37605,25855,4,0.448,0.364,Medium,3,18.1,11.3,8.1,18.1,10.1,2.20,8.0,3,Clear,34,23,none,0,,0
13,91856,28876,38085,24895,0,0.310,0.506,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
