lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,115481,36785,49449,29247,7,0.354,0.803,Soft,1,8.0,8.0,7.8,7.1,7.8,2.40,31.0,1,Clear,28,19,none,0,,0
2,109500,32345,47796,29359,5,0.369,0.826,Soft,2,16.8,15.2,14.2,16.8,16.7,2.40,17.0,3,Clear,28,19,none,0,,1
3,110164,32164,48232,29768,2,1.553,0.607,Soft,3,25.2,22.0,20.4,25.2,25.2,2.40,8.0,0,Clear,28,19,none,0,,1
4,109933,32454,48126,29353,2,0.749,1.950,Soft,4,33.2,28.7,26.5,33.2,31.5,2.30,22.0,3,Clear,28,19,none,0,,0
5,109967,31889,48427,29651,1,0.000,0.000,Soft,5,42.2,36.0,32.7,42.2,37.5,2.30,22.0,3,Clear,28,19,none,0,,0
6,115707,32968,48784,33955,1,0.000,0.000,Soft,6,49.5,42.8,38.7,49.5,44.0,2.30,61.0,0,Clear,28,19,none,1,Medium,0
7,122714,45528,47523,29663,2,2.871,3.783,Medium,1,5.6,3.7,3.3,5.6,3.4,2.30,82.0,0,Clear,28,19,none,0,,0
8,109917,32269,47660,29988,1,0.000,3.730,Medium,2,11.0,7.8,6.9,11.0,7.0,2.30,92.0,3,Clear,28,19,none,0,,0
9,108277,31641,47262,29374,1,0.000,5.987,Medium,3,17.1,12.3,11.0,17.1,11.1,2.30,61.0,1,Clear,28,19,none,0,,0
10,108402,31751,46989,29662,1,0.000,9.248,Medium,4,23.0,17.2,15.3,23.0,15.2,2.20,18.0,3,Clear,28,19,none,0,,0
11,109434,32292,47532,29610,0,0.000,10.631,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
