lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,89148,35944,29648,23556,8,0.521,0.448,Medium,1,3.8,3.5,3.1,3.8,2.6,2.50,37.0,3,Clear,38,26,none,0,,0
2,82209,28931,29835,23443,7,0.633,0.667,Medium,2,7.3,6.4,5.6,7.3,5.3,2.60,6.0,3,Clear,38,26,none,0,,1
3,81844,28613,29650,23581,7,0.445,0.525,Medium,3,10.7,9.2,7.9,10.7,8.1,2.60,23.0,3,Clear,38,26,none,0,,1
4,82298,28885,29867,23546,6,0.797,0.462,Medium,4,14.1,12.0,10.1,14.1,10.9,2.50,61.0,3,Clear,38,26,none,0,,1
5,82824,28852,30342,23630,6,0.683,0.542,Medium,5,17.0,14.9,12.7,17.0,13.7,2.60,37.0,3,Clear,38,26,none,0,,1
6,83195,29316,30099,23780,5,1.220,0.194,Medium,6,20.4,17.6,15.1,20.4,16.4,2.60,45.0,3,Clear,38,26,none,0,,0
7,82599,29017,29841,23741,5,1.210,0.286,Medium,7,24.1,20.6,17.7,24.1,19.3,2.50,42.0,3,Clear,38,26,none,0,,0
8,83376,29193,30137,24046,5,1.564,0.190,Medium,8,27.8,23.3,20.0,27.8,22.1,2.50,69.0,3,Clear,38,26,none,0,,0
9,83328,29291,30208,23829,3,1.304,0.359,Medium,9,31.2,26.0,22.4,31.2,24.8,2.50,73.0,3,Clear,38,26,none,0,,0
10,83141,29131,30070,23940,2,7.746,0.000,Medium,10,34.6,28.8,24.7,34.6,27.1,2.50,84.0,3,Clear,38,26,none,0,,0
11,83621,29002,30502,24117,1,0.000,11.644,Medium,11,37.8,31.5,27.0,37.8,29.6,2.50,92.0,3,Clear,38,26,none,0,,0
12,86820,29227,30185,27408,1,0.000,9.538,Medium,12,41.0,34.1,29.2,41.0,32.3,2.50,100.0,0,Clear,38,26,none,1,Hard,0
13,98739,45774,29511,23454,6,0.845,3.532,Hard,1,2.5,1.9,1.6,2.5,1.8,2.50,87.0,3,Clear,38,26,none,0,,1
14,81396,28595,29511,23290,6,0.685,4.988,Hard,2,4.8,4.1,3.3,4.8,3.8,2.50,84.0,3,Clear,38,26,none,0,,1
15,80599,28052,29364,23183,5,0.882,0.829,Hard,3,7.7,6.3,5.2,7.7,6.0,2.50,48.0,3,Clear,38,26,none,0,,1
16,82478,28638,30180,23660,5,0.442,0.224,Hard,4,9.9,8.2,6.8,9.9,7.7,2.50,88.0,3,Clear,38,26,none,0,,1
17,82544,29255,29663,23626,5,0.671,0.573,Hard,5,12.4,10.3,8.5,12.4,9.4,2.50,87.0,3,Clear,38,26,none,0,,1
18,82166,28758,29767,23641,0,0.493,0.313,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
