lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,86508,30800,27752,27956,3,0.713,2.263,Medium,1,9.3,6.9,5.1,9.3,2.5,2.50,9.0,3,Clear,38,26,none,0,,0
2,86742,27756,28727,30259,1,0.000,0.301,Medium,2,14.4,11.0,8.2,14.4,4.5,2.50,3.0,3,Clear,38,26,none,0,,0
3,88066,28699,29622,29745,2,0.021,0.161,Medium,3,17.3,14.2,10.7,17.3,6.1,2.60,7.0,3,Clear,38,26,none,0,,0
4,90319,29377,31148,29794,1,0.000,0.150,Medium,4,21.9,17.7,13.4,21.9,7.7,2.60,54.0,0,Clear,38,26,none,0,,0
5,87484,28815,29352,29317,2,0.964,0.656,Medium,5,28.8,23.4,17.8,28.8,11.0,2.60,4.0,3,Clear,38,26,none,0,,0
6,88771,27433,29303,32035,5,0.000,1.274,Medium,6,35.6,28.8,21.7,35.6,13.5,2.60,9.0,0,Clear,38,26,none,1,Hard,0
7,104494,47437,28922,28135,12,0.326,6.313,Hard,1,5.0,3.0,2.2,5.0,1.5,2.60,5.0,3,Clear,37,26,none,0,,0
8,84201,27269,27981,28951,3,0.213,5.630,Hard,2,10.5,6.3,4.4,10.5,3.2,2.50,2.0,3,Clear,37,26,none,0,,0
9,85064,28280,28078,28706,2,4.940,0.362,Hard,3,15.9,9.3,6.6,15.9,4.9,2.50,38.0,0,Clear,37,25,none,0,,0
10,90876,27882,31107,31887,2,10.865,0.399,Hard,4,17.4,11.5,8.5,17.4,6.0,2.50,5.0,3,Clear,37,25,none,0,,0
11,91418,29181,33537,28700,5,1.246,1.957,Hard,5,21.3,14.2,10.4,21.3,7.5,2.60,66.0,3,Clear,37,25,none,0,,0
12,86425,26719,30585,29121,5,0.194,0.636,Hard,6,24.9,17.2,12.6,24.9,8.9,2.50,41.0,3,Clear,37,25,none,0,,1
13,87510,27421,31393,28696,0,0.660,0.438,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
