lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,113347,43682,42406,27259,4,0.639,0.168,Hard,1,5.6,4.4,5.6,1.5,2.4,2.40,5.0,1,Clear,35,24,none,0,,0
2,106203,37388,43125,25690,3,2.774,0.172,Hard,2,9.2,7.3,9.2,2.8,5.2,2.40,1.0,1,Clear,35,24,none,0,,0
3,105869,37395,42571,25903,3,2.028,3.357,Hard,3,13.0,10.3,13.0,4.3,8.3,2.40,6.0,1,Clear,35,24,none,0,,0
4,108147,37981,43404,26762,3,0.086,3.188,Hard,4,17.1,13.4,17.1,5.7,11.0,2.40,2.0,1,Clear,35,24,none,0,,1
5,107377,38498,43498,25381,1,0.000,1.135,Hard,5,20.8,16.6,20.8,7.2,13.3,2.40,1.0,3,Clear,35,24,none,0,,0
6,110221,37899,43328,28994,3,0.000,3.004,Hard,6,24.8,20.0,24.8,9.0,16.2,2.40,8.0,0,Clear,35,24,none,1,Medium,0
7,123085,52433,43313,27339,9,0.921,0.000,Medium,1,4.4,3.7,4.4,1.7,3.0,2.40,6.0,1,Clear,35,24,SC,0,,0
8,129622,46263,55093,28266,3,13.012,2.256,Medium,2,7.0,5.9,7.0,2.6,4.7,2.50,33.0,1,Clear,34,24,SC,0,,0
9,149915,43291,59202,47422,1,0.000,1.463,Medium,3,9.5,8.0,9.5,3.2,6.1,2.80,26.0,3,Clear,34,24,SC,0,,0
10,104858,36702,42385,25771,1,0.000,1.772,Medium,4,14.7,12.1,14.7,5.6,10.4,2.80,2.0,1,Clear,34,24,none,0,,0
11,107304,37206,42782,27316,2,65.516,0.996,Medium,5,20.8,17.2,20.8,8.6,15.0,2.80,15.0,0,Clear,34,24,none,0,,0
12,116133,40121,49461,26551,7,0.148,0.231,Medium,6,25.5,21.2,25.5,10.4,18.0,2.80,78.0,0,Clear,34,24,none,0,,1
13,107207,38482,44298,24427,0,0.580,0.214,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
