lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,103726,35668,41770,26288,9,1.069,0.783,Medium,1,4.0,3.5,4.0,1.6,2.6,2.50,13.0,3,Clear,32,26,none,0,,0
2,95958,28485,40277,27196,7,1.067,0.517,Medium,2,7.2,6.1,7.2,3.2,6.4,2.50,4.0,1,Clear,32,26,none,0,,0
3,96725,28601,41140,26984,5,0.994,0.583,Medium,3,10.4,8.8,10.4,4.8,9.3,2.50,5.0,1,Clear,32,26,none,0,,0
4,95948,28888,40061,26999,4,1.201,1.240,Medium,4,13.7,11.5,13.7,6.6,12.6,2.50,5.0,3,Clear,32,26,none,0,,0
5,96199,28923,40181,27095,3,1.770,1.587,Medium,5,17.0,14.2,17.0,8.9,16.0,2.50,2.0,3,Clear,32,26,none,0,,0
6,96026,28952,40004,27070,2,0.000,0.000,Medium,6,20.1,16.9,20.1,10.8,19.5,2.50,6.0,1,Clear,32,26,none,0,,0
7,96501,29072,40195,27234,1,0.000,3.050,Medium,7,23.5,19.6,23.5,12.7,22.6,2.50,4.0,3,Clear,31,26,none,0,,0
8,96936,29089,40594,27253,1,0.000,10.078,Medium,8,26.8,22.5,26.8,14.6,25.8,2.50,6.0,1,Clear,31,26,none,0,,0
9,101902,28997,40946,31959,1,0.000,13.133,Medium,9,29.8,25.1,29.8,16.6,28.7,2.50,8.0,0,Clear,31,26,SC,1,Hard,0
10,145256,51454,55552,38250,2,0.280,0.488,Hard,1,1.1,1.1,1.1,0.6,0.5,2.90,47.0,1,Clear,31,26,SC,0,,0
11,137043,38864,55817,42362,2,0.234,0.533,Hard,2,2.0,1.8,2.0,0.8,1.0,3.20,81.0,3,Clear,31,26,SC,0,,0
12,99546,30733,42235,26578,6,0.500,1.067,Hard,3,4.1,3.6,4.1,1.9,3.3,3.30,54.0,1,Clear,31,26,none,0,,0
13,95829,28516,40217,27096,6,0.573,1.002,Hard,4,6.5,5.6,6.5,3.0,5.7,3.40,31.0,1,Clear,31,26,none,0,,1
14,97690,28511,40885,28294,6,0.584,0.733,Hard,5,8.9,7.6,8.9,4.0,7.6,3.50,7.0,1,Clear,31,26,none,0,,1
15,97038,28852,40835,27351,6,0.675,0.283,Hard,6,11.3,9.7,11.3,5.3,9.9,3.50,22.0,1,Clear,31,26,none,0,,1
16,97038,28795,40534,27709,0,0.528,0.367,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
