lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,101003,29368,39338,32297,3,1.666,1.616,Medium,1,4.9,4.6,4.1,4.9,3.7,2.50,39.0,3,Clear,38,26,none,0,,0
2,98099,26249,39018,32832,2,1.050,0.133,Medium,2,8.8,8.5,8.0,8.8,8.2,2.50,4.0,3,Clear,37,25,none,0,,1
3,98244,26461,38908,32875,1,0.000,0.484,Medium,3,12.6,12.3,11.7,12.6,12.3,2.50,14.0,1,Clear,37,25,none,0,,0
4,99078,27239,39413,32426,1,0.000,1.239,Medium,4,16.8,16.2,15.5,16.8,16.4,2.50,8.0,3,Clear,37,25,none,0,,0
5,99296,26753,39502,33041,1,0.000,2.232,Medium,5,20.8,20.0,19.2,20.8,20.7,2.50,11.0,3,Clear,37,25,none,0,,0
6,99185,26899,39650,32636,1,0.000,3.538,Medium,6,25.0,24.0,23.1,25.0,25.0,2.40,14.0,3,Clear,37,25,none,0,,0
7,101682,26838,39840,35004,1,0.000,0.000,Medium,7,30.1,27.8,26.7,30.1,29.2,2.40,30.0,0,Clear,37,25,none,1,Hard,0
8,118076,45413,39916,32747,4,0.534,2.836,Hard,1,1.9,1.9,1.8,1.7,1.7,2.50,36.0,3,Clear,37,25,none,0,,0
9,100392,27168,39930,33294,1,0.000,0.000,Hard,2,4.4,4.1,3.8,4.4,3.9,2.50,14.0,2,Clear,37,25,none,0,,0
10,105629,27863,42743,35023,2,3.534,1.550,Hard,3,6.4,5.8,5.4,6.4,5.6,2.60,85.0,0,Clear,37,25,none,0,,0
11,107303,28057,42447,36799,6,1.267,0.400,Hard,4,7.7,7.2,6.8,7.7,7.0,2.80,100.0,0,Clear,37,25,none,0,,1
12,103075,28289,41084,33702,8,0.416,9.054,Hard,5,9.3,8.7,8.3,9.3,8.8,2.80,100.0,0,Clear,36,25,none,0,,1
13,101436,27249,40640,33547,8,0.284,8.510,Hard,6,11.2,10.5,9.9,11.2,10.3,2.90,97.0,3,Clear,36,25,none,0,,1
14,99938,27304,39425,33209,0,1.671,1.168,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
