lap,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,gap_ahead_s,gap_behind_s,tire_compound,tire_age,tire_wear_max,tire_wear_fl,tire_wear_fr,tire_wear_rl,tire_wear_rr,fuel_remaining_laps,ers_percent,ers_mode,weather,track_temp_c,air_temp_c,safety_car_status,pit_this_lap,pit_compound_to,drs_used
1,102567,42043,42096,18428,11,0.650,1.125,Medium,1,6.2,4.7,4.9,4.0,6.2,1.40,38.0,3,Clear,25,17,none,0,,0
2,96806,36678,42106,18022,11,0.836,2.206,Medium,2,12.9,9.1,9.0,10.3,12.9,1.40,16.0,3,Clear,25,17,none,0,,0
3,96076,35265,42040,18771,9,2.153,0.524,Medium,3,18.0,13.4,12.9,17.1,18.0,1.40,4.0,3,Clear,25,17,none,0,,1
4,95247,35534,41411,18302,8,1.650,1.017,Medium,4,23.7,17.6,16.8,23.2,23.7,1.40,9.0,3,Clear,25,17,none,0,,1
5,96000,36141,41516,18343,8,1.552,2.327,Medium,5,30.3,21.9,20.8,30.3,29.0,1.40,5.0,3,Clear,25,17,none,0,,0
6,95932,35764,41941,18227,8,1.456,3.120,Medium,6,36.3,25.9,24.7,36.3,34.1,1.40,15.0,3,Clear,25,17,none,0,,0
7,95634,35544,41764,18326,7,0.665,1.144,Medium,7,42.4,30.0,28.6,42.4,39.9,1.40,3.0,3,Clear,25,17,none,0,,1
8,96948,36414,41982,18552,7,1.157,1.716,Medium,8,50.0,34.0,32.5,50.0,46.4,1.40,1.0,3,Clear,25,17,none,0,,0
9,97187,36511,42380,18296,5,1.510,1.229,Medium,9,56.4,37.8,36.1,56.4,51.7,1.40,4.0,3,Clear,25,17,none,0,,0
10,100650,36730,43380,20540,4,0.000,0.000,Medium,10,62.2,41.7,39.8,62.2,58.5,1.40,10.0,0,Clear,25,17,none,1,Soft,0
11,119952,1082,41042,77828,14,1.331,3.065,Soft,1,7.3,5.2,5.4,6.6,7.3,1.40,6.0,3,Clear,25,17,none,0,,0
12,94035,35127,40831,18077,9,4.388,1.015,Soft,2,16.2,11.1,11.2,16.2,14.2,1.30,14.0,3,Light Cloud,24,17,none,0,,1
13,94329,34724,41398,18207,8,2.721,2.498,Soft,3,24.0,16.8,16.8,24.0,22.0,1.30,24.0,3,Light Cloud,24,17,none,0,,0
14,94107,34659,41405,18043,8,1.980,4.228,Soft,4,32.1,22.7,22.8,32.1,30.5,1.30,3.0,3,Light Cloud,24,17,none,0,,0
15,95231,35927,41167,18137,8,2.133,5.407,Soft,5,40.9,28.6,28.3,40.9,38.7,1.30,6.0,3,Light Cloud,24,17,none,0,,0
16,95516,35794,41189,18533,8,2.237,6.565,Soft,6,49.3,34.3,33.8,49.3,46.1,1.20,2.0,3,Light Cloud,24,17,none,0,,0
17,112557,36844,52146,23567,7,0.000,8.192,Soft,7,55.2,38.1,37.3,55.2,50.5,1.40,59.0,0,Light Cloud,23,17,SC,1,Medium,0
18,119940,55922,43516,20502,8,1.086,8.051,Medium,1,4.6,3.3,3.1,4.6,4.5,1.50,98.0,1,Light Cloud,23,17,SC,0,,0
19,133976,50649,57617,25710,8,0.535,0.494,Medium,2,5.0,4.4,4.0,5.0,5.0,1.80,97.0,1,Light Cloud,23,16,SC,0,,0
20,137850,50958,57818,29074,8,0.124,0.524,Medium,3,5.4,5.4,4.9,5.4,5.3,2.10,87.0,3,Light Cloud,23,16,none,0,,0
21,99716,35466,43771,20479,8,0.000,2.014,Medium,4,11.6,9.0,8.0,11.6,10.0,2.20,34.0,0,Overcast,22,16,none,1,unknown,0
22,99716,35466,43771,20479,0,0.000,0.000,unknown,1,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0,Clear,0,0,none,0,,0
